prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io2_l2n1p1_l5n1p1_l7n1p1_d1d2,8.423,56,5,1848,3734,36,65,31,65,28.434,1728,1720,0,8,1257,28,0,5
io2_l2n1p1_l5n1p1_l7n1p2,8.423,56,10,1657,2742,37,20,32,20,33.003,1679,1671,0,8,1249,28,0,10
io2_l2n1p1_l5n1p1_l7n1p2_d1d2,8.423,56,10,2100,3950,38,60,33,60,34.11,1993,1986,0,7,1505,28,0,10
io2_l2n1p1_l5n1p1_l7p1n1,9.597,56,20,4336,5095,158,50,33,50,45.764,3633,3633,0,0,3713,28,0,20
io2_l2n1p1_l5n1p1_l7p1n1_d1d2,8.499,56,20,4867,7203,159,90,34,90,46.097,4017,4017,0,0,3885,28,0,20
io2_l2n1p1_l5n1p1_l7p2n1,9.634,56,20,4267,6250,286,82,33,82,45.539,3712,3712,0,0,3555,28,0,20
io2_l2n1p1_l5n1p1_l7p2n1_d1d2,8.499,56,40,7886,8844,287,90,42,90,64.156,6119,6119,0,0,6860,28,0,40
io2_l2n1p2_l5n1p2_l7n1n1,9.066,56,5,1308,2447,41,22,31,22,28.172,1407,1407,0,0,1112,28,0,5
io2_l2n1p2_l5n1p2_l7n1n1_d1d2,7.977,56,5,1457,3306,40,49,30,49,26.52,1642,1642,0,0,1430,28,0,5
io2_l2n1p2_l5n1p2_l7n1n2,9.066,56,10,1685,2738,43,22,33,22,31.933,1647,1647,0,0,1305,28,0,10
io2_l2n1p2_l5n1p2_l7n1n2_d1d2,9.085,56,5,1452,3269,42,44,30,44,28.597,1733,1733,0,0,1382,28,0,5
io2_l2n1p2_l5n1p2_l7n1p1,9.066,56,5,1610,2655,42,22,32,22,27.922,1454,1446,0,8,1134,28,0,5
io2_l2n1p2_l5n1p2_l7n1p1_d1d2,9.066,56,5,2036,3642,41,49,31,49,26.977,1638,1630,0,8,1435,28,0,5
io2_l2n1p2_l5n1p2_l7n1p2,9.066,56,10,1813,2849,44,22,34,22,32.081,1735,1728,0,7,1348,28,0,10
io2_l2n1p2_l5n1p2_l7n1p2_d1d2,9.066,56,10,2288,3858,43,44,33,44,31.506,1917,1911,0,6,1688,28,0,10
io2_l2n1p2_l5n1p2_l7p1n1,9.634,56,20,4492,5196,165,52,35,52,46.06,3687,3687,0,0,3808,28,0,20
io2_l2n1p2_l5n1p2_l7p1n1_d1d2,8.555,56,20,5023,7088,164,74,34,74,44.71,3887,3887,0,0,4066,28,0,20
io2_l2n1p2_l5n1p2_l7p2n1,9.672,56,20,4423,6351,293,84,35,84,45.148,3828,3828,0,0,3650,28,0,20
io2_l2n1p2_l5n1p2_l7p2n1_d1d2,8.555,56,40,8042,8731,292,74,42,74,59.806,6100,6100,0,0,7046,28,0,40
io2_l2p1n1_l5p1n1_l7n1n1,9.164,56,149,13670,19242,383,134,111,134,97.981,8087,8087,0,0,8501,24,0,149
io2_l2p1n1_l5p1n1_l7n1n1_d1d2,9.171,56,50,18925,25585,366,149,61,149,85.921,13673,13673,0,0,17209,28,0,50
io2_l2p1n1_l5p1n1_l7n1n2,9.164,56,145,13503,19127,385,134,110,134,89.434,8127,8127,0,0,8449,28,0,145
io2_l2p1n1_l5p1n1_l7n1n2_d1d2,9.758,56,95,21268,27502,368,144,76,144,95.837,14591,14591,0,0,25465,28,0,95
io2_l2p1n1_l5p1n1_l7n1p1,9.164,56,134,13193,18824,384,134,107,134,90.134,7770,7762,0,8,8225,28,0,134
io2_l2p1n1_l5p1n1_l7n1p1_d1d2,9.171,56,47,19312,25796,367,149,61,149,78.209,13600,13592,0,8,17129,28,0,47
io2_l2p1n1_l5p1n1_l7n1p2,9.164,56,139,13300,18985,386,134,109,134,93.321,8077,8069,0,8,8343,28,0,139
io2_l2p1n1_l5p1n1_l7n1p2_d1d2,9.171,56,43,19116,25601,369,144,60,144,79.262,13748,13741,0,7,17190,28,0,43
io2_l2p1n1_l5p1n1_l7p1n1,9.203,56,122,13600,20036,507,164,101,164,88.398,9133,9133,0,0,9285,24,0,122
io2_l2p1n1_l5p1n1_l7p1n1_d1d2,9.21,56,182,28827,34492,490,174,104,174,129.918,18675,18675,0,0,22377,28,0,182
io2_l2p1n1_l5p1n1_l7p2n1,9.242,56,119,13377,20983,635,196,100,196,83.536,9188,9188,0,0,9071,28,0,119
io2_l2p1n1_l5p1n1_l7p2n1_d1d2,9.21,56,70,24294,30312,618,174,68,174,98.665,17772,17772,0,0,28388,28,0,70
io2_l2p2n1_l5p2n1_l7n1n1,7.984,56,26,22935,18809,639,134,71,134,265.069,14151,11768,0,2383,21128,28,0,26
io2_l2p2n1_l5p2n1_l7n1n1_d1d2,7.966,56,52,29977,28404,622,139,64,139,282.714,18257,14979,0,3278,25406,28,0,52
io2_l2p2n1_l5p2n1_l7n1n2,8.644,56,26,22925,18759,641,134,71,134,273.015,14293,11910,0,2383,20910,28,0,26
io2_l2p2n1_l5p2n1_l7n1n2_d1d2,9.634,56,52,29972,28365,624,134,64,134,283.168,18130,14852,0,3278,25274,28,0,52
io2_l2p2n1_l5p2n1_l7n1p1,9.101,56,26,23237,19017,640,134,72,134,273.082,14195,11804,0,2391,20268,28,0,26
io2_l2p2n1_l5p2n1_l7n1p1_d1d2,9.047,56,52,30556,28740,623,139,65,139,356.15,18153,14867,0,3286,25346,26,0,52
io2_l2p2n1_l5p2n1_l7n1p2,8.644,56,26,23053,18870,642,134,72,134,282.053,14178,11787,0,2391,20943,28,0,26
io2_l2p2n1_l5p2n1_l7n1p2_d1d2,9.047,56,52,30421,28617,625,134,65,134,350.746,18556,15271,0,3285,25305,24,0,52
io2_l2p2n1_l5p2n1_l7p1n1,8,56,26,24542,20460,763,164,69,164,275.451,15758,13375,0,2383,22663,28,0,26
io2_l2p2n1_l5p2n1_l7p1n1_d1d2,7.969,56,52,32030,31095,746,164,62,164,360.115,19735,16457,0,3278,26917,28,0,52
io2_l2p2n1_l5p2n1_l7p2n1,8.016,56,26,24473,21615,891,196,69,196,277.866,15671,13285,0,2386,22572,28,0,26
io2_l2p2n1_l5p2n1_l7p2n1_d1d2,7.969,56,52,33117,31257,874,164,62,164,369.431,21020,17742,0,3278,28293,28,0,52
io4_l2n1n1_l5n1n1_l7n1n1,7.966,56,5,1258,2208,30,12,25,12,21.68,1121,1121,0,0,1119,28,0,5
io4_l2n1n1_l5n1n1_l7n1n1_d1d2,7.966,112,5,1196,4837,31,12,26,12,37.198,2268,2268,0,0,1630,0,112,5
io4_l2n1n1_l5n1n1_l7n1n2,8.423,56,5,1220,2352,32,15,25,15,20.796,1248,1248,0,0,859,28,0,5
io4_l2n1n1_l5n1n1_l7n1n2_d1d2,7.966,112,5,1325,5025,33,15,26,15,38.751,2364,2364,0,0,1640,0,112,5
io4_l2n1n1_l5n1n1_l7n1n4,7.966,56,20,2401,3231,36,12,31,12,35.597,2014,2014,0,0,1772,28,0,20
io4_l2n1n1_l5n1n1_l7n1n4_d1d2,7.966,112,20,3006,5500,37,12,32,12,51.424,3134,3134,0,0,2403,0,112,20
io4_l2n1n1_l5n1n1_l7n1p1,7.966,56,5,1671,2448,31,12,26,12,22.309,1183,1175,0,8,1159,28,0,5
io4_l2n1n1_l5n1n1_l7n1p1_d1d2,7.966,112,5,1459,5013,32,12,27,12,38.696,2327,2319,0,8,1662,0,112,5
io4_l2n1n1_l5n1n1_l7n1p2,8.423,56,10,2119,2970,33,15,28,15,26.063,1491,1483,0,8,1301,28,0,10
io4_l2n1n1_l5n1n1_l7n1p2_d1d2,7.966,112,10,1981,5547,34,15,29,15,44.143,2631,2623,0,8,1927,0,112,10
io4_l2n1n1_l5n1n1_l7n1p4,7.966,56,20,2528,3341,37,12,32,12,35.582,2014,2007,0,7,1803,28,0,20
io4_l2n1n1_l5n1n1_l7n1p4_d1d2,7.966,112,20,2740,6434,38,12,33,12,51.807,3167,3161,0,6,2435,0,112,20
io4_l2n1n1_l5n1n1_l7p1n1,7.966,56,40,7239,6490,154,26,37,26,60.471,5422,5422,0,0,6200,28,0,40
io4_l2n1n1_l5n1n1_l7p1n1_d1d2,7.966,160,40,7226,13174,155,26,38,26,75.184,6945,6945,0,0,6562,48,64,40
io4_l2n1n1_l5n1n1_l7p2n1,8.499,56,40,7850,7802,282,42,37,42,60.988,5634,5634,0,0,6756,28,0,40
io4_l2n1n1_l5n1n1_l7p2n1_d1d2,7.966,160,80,13648,16992,283,29,54,29,106.429,11603,11603,0,0,11901,44,48,80
io4_l2n1n1_l5n1n1_l7p4n1,8.537,56,40,7507,9666,538,74,37,74,59.934,5609,5609,0,0,6340,28,0,40
io4_l2n1n1_l5n1n1_l7p4n1_d1d2,7.966,160,160,26493,22719,539,26,86,26,182.739,19863,19863,0,0,22541,45,48,160
io4_l2n1n2_l5n1n2_l7n1n1,7.966,56,8,1566,2614,35,20,26,20,25.84,1453,1453,0,0,1223,28,0,8
io4_l2n1n2_l5n1n2_l7n1n1_d1d2,7.966,112,8,1512,5753,36,18,27,18,38.357,2492,2492,0,0,1749,0,112,8
io4_l2n1n2_l5n1n2_l7n1n2,9.085,56,8,1528,2758,37,23,26,23,25.527,1520,1520,0,0,1093,28,0,8
io4_l2n1n2_l5n1n2_l7n1n2_d1d2,7.966,112,8,1641,5941,38,21,27,21,38.178,2580,2580,0,0,1754,0,112,8
io4_l2n1n2_l5n1n2_l7n1n4,8.609,56,20,2549,3512,41,20,31,20,36.547,2260,2260,0,0,1814,28,0,20
io4_l2n1n2_l5n1n2_l7n1n4_d1d2,7.966,112,20,3370,5939,42,18,32,18,48.376,3289,3289,0,0,2463,0,112,20
io4_l2n1n2_l5n1n2_l7n1p1,7.966,56,8,1979,2854,36,20,27,20,27.231,1485,1477,0,8,1263,28,0,8
io4_l2n1n2_l5n1n2_l7n1p1_d1d2,7.966,112,8,2295,5049,37,18,28,18,38.039,2503,2495,0,8,1778,0,112,8
io4_l2n1n2_l5n1n2_l7n1p2,9.066,56,10,2267,3251,38,23,28,23,28.199,1718,1710,0,8,1329,28,0,10
io4_l2n1n2_l5n1n2_l7n1p2_d1d2,7.966,112,10,2709,5370,39,21,29,21,40.964,2819,2811,0,8,1985,0,112,10
io4_l2n1n2_l5n1n2_l7n1p4,8.609,56,20,2676,3622,42,20,32,20,39.18,2261,2255,0,6,1847,28,0,20
io4_l2n1n2_l5n1n2_l7n1p4_d1d2,7.966,112,20,3572,6081,43,18,33,18,49.25,3348,3342,0,6,2492,0,112,20
io4_l2n1n2_l5n1n2_l7p1n1,7.966,56,40,7387,6750,159,34,37,34,60.73,5521,5521,0,0,6235,28,0,40
io4_l2n1n2_l5n1n2_l7p1n1_d1d2,7.966,160,40,8266,12447,160,32,38,32,74.398,6954,6954,0,0,6614,48,64,40
io4_l2n1n2_l5n1n2_l7p2n1,8.499,56,40,7998,8062,287,50,37,50,61.507,5781,5781,0,0,6803,28,0,40
io4_l2n1n2_l5n1n2_l7p2n1_d1d2,7.966,160,80,14272,16969,288,35,54,35,107.093,11295,11295,0,0,11896,32,48,80
io4_l2n1n2_l5n1n2_l7p4n1,8.537,56,40,7655,9942,543,82,37,82,62.802,5819,5819,0,0,6378,28,0,40
io4_l2n1n2_l5n1n2_l7p4n1_d1d2,7.966,160,160,27117,22697,544,32,86,32,187.781,20086,20086,0,0,22739,44,64,160
io4_l2n1n4_l5n1n4_l7n1n1,7.977,56,14,2292,3074,47,18,30,18,31.239,1668,1668,0,0,1743,28,0,14
io4_l2n1n4_l5n1n4_l7n1n1_d1d2,7.966,112,14,2106,6283,46,12,29,12,41.519,2718,2718,0,0,1949,0,112,14
io4_l2n1n4_l5n1n4_l7n1n2,9.01,56,14,2254,3231,49,21,30,21,29.63,1731,1731,0,0,1491,28,0,14
io4_l2n1n4_l5n1n4_l7n1n2_d1d2,7.966,112,14,2235,6487,48,15,29,15,42.008,2790,2790,0,0,1956,0,112,14
io4_l2n1n4_l5n1n4_l7n1n4,7.977,56,20,2955,3758,53,18,33,18,36.088,2319,2319,0,0,2210,28,0,20
io4_l2n1n4_l5n1n4_l7n1n4_d1d2,7.966,112,20,3748,6043,52,12,32,12,47.358,3428,3428,0,0,2531,0,112,20
io4_l2n1n4_l5n1n4_l7n1p1,7.977,56,14,2705,3314,48,18,31,18,30.977,1702,1694,0,8,1783,28,0,14
io4_l2n1n4_l5n1n4_l7n1p1_d1d2,7.966,112,14,2993,5403,47,12,30,12,40.378,2757,2749,0,8,1981,0,112,14
io4_l2n1n4_l5n1n4_l7n1p2,8.423,56,16,2993,3711,50,21,32,21,32.924,1944,1936,0,8,1861,28,0,16
io4_l2n1n4_l5n1n4_l7n1p2_d1d2,7.966,112,16,3407,5724,49,15,31,15,44.027,2995,2987,0,8,2174,0,112,16
io4_l2n1n4_l5n1n4_l7n1p4,7.977,56,20,3082,3868,54,18,34,18,34.127,2402,2396,0,6,2240,28,0,20
io4_l2n1n4_l5n1n4_l7n1p4_d1d2,7.966,112,20,3950,6185,53,12,33,12,47.18,3457,3451,0,6,2564,0,112,20
io4_l2n1n4_l5n1n4_l7p1n1,7.969,56,40,7697,6961,171,32,39,32,57.922,5750,5750,0,0,6543,28,0,40
io4_l2n1n4_l5n1n4_l7p1n1_d1d2,7.966,160,40,8644,12527,170,26,38,26,72.679,7158,7158,0,0,6687,48,64,40
io4_l2n1n4_l5n1n4_l7p2n1,8.555,56,40,8308,8289,299,48,39,48,59.422,6016,6016,0,0,6995,28,0,40
io4_l2n1n4_l5n1n4_l7p2n1_d1d2,7.966,160,80,14650,17049,298,29,54,29,111.551,12083,12083,0,0,12152,48,64,80
io4_l2n1n4_l5n1n4_l7p4n1,8.593,56,40,7965,10153,555,80,39,80,61.034,6001,6001,0,0,6635,28,0,40
io4_l2n1n4_l5n1n4_l7p4n1_d1d2,7.966,160,160,27495,22779,554,26,86,26,184.197,20147,20147,0,0,22981,40,64,160
io4_l2n1p1_l5n1p1_l7n1n1,7.966,56,5,1424,2608,34,18,29,18,28.21,1492,1492,0,0,1286,28,0,5
io4_l2n1p1_l5n1p1_l7n1n1_d1d2,7.966,112,5,1368,5381,35,18,30,18,53.242,2606,2606,0,0,1804,0,112,5
io4_l2n1p1_l5n1p1_l7n1n2,8.423,56,5,1386,2752,36,21,29,21,27.524,1587,1587,0,0,1033,28,0,5
io4_l2n1p1_l5n1p1_l7n1n2_d1d2,7.966,112,5,1497,5569,37,21,30,21,54.171,2667,2667,0,0,1808,0,112,5
io4_l2n1p1_l5n1p1_l7n1n4,7.966,56,20,2567,3631,40,18,35,18,41.753,2327,2327,0,0,1939,28,0,20
io4_l2n1p1_l5n1p1_l7n1n4_d1d2,7.966,112,20,3178,6044,41,18,36,18,66.182,3451,3451,0,0,2578,0,112,20
io4_l2n1p1_l5n1p1_l7n1p1,7.966,56,5,1837,2848,35,18,30,18,30.179,1520,1512,0,8,1326,28,0,5
io4_l2n1p1_l5n1p1_l7n1p1_d1d2,7.966,112,5,1943,5029,36,18,31,18,54.881,2659,2651,0,8,1835,0,112,5
io4_l2n1p1_l5n1p1_l7n1p2,8.423,56,10,2285,3370,37,21,32,21,32.953,1846,1838,0,8,1470,28,0,10
io4_l2n1p1_l5n1p1_l7n1p2_d1d2,7.966,112,10,2517,5475,38,21,33,21,60.085,2940,2932,0,8,2102,0,112,10
io4_l2n1p1_l5n1p1_l7n1p4,7.966,56,20,2694,3741,41,18,36,18,41.825,2367,2360,0,7,1974,28,0,20
io4_l2n1p1_l5n1p1_l7n1p4_d1d2,7.966,112,20,3380,6186,42,18,37,18,67.942,3480,3474,0,6,2609,0,112,20
io4_l2n1p1_l5n1p1_l7p1n1,7.966,56,40,7405,6878,158,32,41,32,66.885,5813,5813,0,0,6359,28,0,40
io4_l2n1p1_l5n1p1_l7p1n1_d1d2,7.966,160,40,8067,12526,159,32,42,32,92.733,7351,7351,0,0,6737,48,64,40
io4_l2n1p1_l5n1p1_l7p2n1,8.499,56,40,8016,8194,286,48,41,48,65.919,5976,5976,0,0,6713,28,0,40
io4_l2n1p1_l5n1p1_l7p2n1_d1d2,7.966,160,80,14073,17048,287,35,58,35,117.38,12190,12190,0,0,13084,46,48,80
io4_l2n1p1_l5n1p1_l7p4n1,8.537,56,40,7673,10058,542,80,41,80,66.708,6747,6747,0,0,6585,28,0,40
io4_l2n1p1_l5n1p1_l7p4n1_d1d2,7.966,160,160,26925,22775,543,32,90,32,201.037,19996,19996,0,0,22734,48,64,160
io4_l2n1p2_l5n1p2_l7n1n1,7.977,56,5,1614,2892,41,26,31,26,28.602,1707,1707,0,0,1349,28,0,5
io4_l2n1p2_l5n1p2_l7n1n1_d1d2,7.977,112,5,1558,6137,40,24,30,24,45.295,2934,2934,0,0,1997,0,112,5
io4_l2n1p2_l5n1p2_l7n1n2,9.085,56,5,1576,3033,43,29,31,29,28.047,1821,1821,0,0,1224,28,0,5
io4_l2n1p2_l5n1p2_l7n1n2_d1d2,7.966,112,5,1687,6322,42,27,30,27,45.825,2962,2962,0,0,2001,0,112,5
io4_l2n1p2_l5n1p2_l7n1n4,8.609,56,20,2757,3915,47,26,37,26,41.671,2513,2513,0,0,2005,28,0,20
io4_l2n1p2_l5n1p2_l7n1n4_d1d2,7.977,112,20,3576,6448,46,24,36,24,58.027,3779,3779,0,0,2771,0,112,20
io4_l2n1p2_l5n1p2_l7n1p1,7.977,56,5,2027,3132,42,26,32,26,29.512,1697,1689,0,8,1393,28,0,5
io4_l2n1p2_l5n1p2_l7n1p1_d1d2,7.977,112,5,2341,5433,41,24,31,24,44.882,2947,2939,0,8,2028,0,112,5
io4_l2n1p2_l5n1p2_l7n1p2,9.066,56,10,2475,3654,44,29,34,29,31.892,2035,2027,0,8,1531,28,0,10
io4_l2n1p2_l5n1p2_l7n1p2_d1d2,7.977,112,10,2915,5879,43,27,33,27,49.414,3261,3253,0,8,2288,0,112,10
io4_l2n1p2_l5n1p2_l7n1p4,8.609,56,20,2884,4025,48,26,38,26,41.28,2525,2519,0,6,2039,28,0,20
io4_l2n1p2_l5n1p2_l7n1p4_d1d2,7.977,112,20,3778,6590,47,24,37,24,58.748,3798,3792,0,6,2803,0,112,20
io4_l2n1p2_l5n1p2_l7p1n1,7.969,56,40,7563,7141,165,40,43,40,65.18,6076,6076,0,0,6389,28,0,40
io4_l2n1p2_l5n1p2_l7p1n1_d1d2,7.969,160,40,8440,12907,164,38,42,38,83.345,7375,7375,0,0,6897,48,64,40
io4_l2n1p2_l5n1p2_l7p2n1,8.555,56,40,8167,8457,293,56,43,56,66.361,6190,6190,0,0,6937,28,0,40
io4_l2n1p2_l5n1p2_l7p2n1_d1d2,7.969,160,80,14439,17429,292,41,58,41,121.301,11758,11758,0,0,12131,46,64,80
io4_l2n1p2_l5n1p2_l7p4n1,8.593,56,40,7831,10321,549,88,43,88,65.248,6343,6343,0,0,6529,28,0,40
io4_l2n1p2_l5n1p2_l7p4n1_d1d2,7.969,160,160,27291,23158,548,38,90,38,186.105,20432,20432,0,0,22841,48,64,160
io4_l2n1p4_l5n1p4_l7n1n1,7.966,56,5,1958,3152,55,24,35,24,27.353,1773,1773,0,0,1409,28,0,5
io4_l2n1p4_l5n1p4_l7n1n1_d1d2,7.966,112,5,1880,6333,50,18,30,18,38.695,2826,2826,0,0,1929,0,112,5
io4_l2n1p4_l5n1p4_l7n1n2,9.01,56,5,1920,3293,57,27,35,27,27.993,1891,1891,0,0,1419,28,0,5
io4_l2n1p4_l5n1p4_l7n1n2_d1d2,7.969,112,5,2009,6518,52,21,30,21,37.3,2809,2809,0,0,1933,0,112,5
io4_l2n1p4_l5n1p4_l7n1n4,7.966,56,20,3101,4175,61,24,41,24,38.761,2616,2616,0,0,2126,28,0,20
io4_l2n1p4_l5n1p4_l7n1n4_d1d2,7.966,112,20,4002,6468,56,18,36,18,51.62,3678,3678,0,0,2705,0,112,20
io4_l2n1p4_l5n1p4_l7n1p1,7.966,56,5,2371,3392,56,24,36,24,26.473,1801,1793,0,8,1449,28,0,5
io4_l2n1p4_l5n1p4_l7n1p1_d1d2,7.966,112,5,2767,5453,51,18,31,18,38.477,2770,2762,0,8,1959,0,112,5
io4_l2n1p4_l5n1p4_l7n1p2,8.423,56,10,2819,3914,58,27,38,27,33.742,2109,2101,0,8,1718,28,0,10
io4_l2n1p4_l5n1p4_l7n1p2_d1d2,7.966,112,10,3341,5899,53,21,33,21,43.33,3078,3070,0,8,2219,0,112,10
io4_l2n1p4_l5n1p4_l7n1p4,7.966,56,20,3228,4285,62,24,42,24,39.428,2645,2638,0,7,2159,28,0,20
io4_l2n1p4_l5n1p4_l7n1p4_d1d2,7.966,112,20,4204,6610,57,18,37,18,50.816,3619,3613,0,6,2735,0,112,20
io4_l2n1p4_l5n1p4_l7p1n1,8.518,56,40,7843,7389,179,38,47,38,63.281,5968,5968,0,0,6451,28,0,40
io4_l2n1p4_l5n1p4_l7p1n1_d1d2,8.518,160,40,8788,12915,174,32,42,32,74.384,7251,7251,0,0,6754,48,64,40
io4_l2n1p4_l5n1p4_l7p2n1,8.537,56,40,8440,8705,307,54,47,54,65.351,6420,6420,0,0,7180,28,0,40
io4_l2n1p4_l5n1p4_l7p2n1_d1d2,8.518,160,80,14801,17437,302,35,58,35,112.339,11905,11905,0,0,12103,44,64,80
io4_l2n1p4_l5n1p4_l7p4n1,8.574,56,40,8097,10585,563,86,47,86,64.875,6286,6286,0,0,6739,28,0,40
io4_l2n1p4_l5n1p4_l7p4n1_d1d2,8.518,160,160,27653,23166,558,32,90,32,177.344,20512,20512,0,0,23177,37,44,160
io4_l2p1n1_l5p1n1_l7n1n1,8.834,56,17,3383,11061,383,70,67,70,40.074,2846,2846,0,0,2701,28,0,17
io4_l2p1n1_l5p1n1_l7n1n1_d1d2,8.612,176,26,3999,17494,356,70,43,70,53.765,4227,4227,0,0,3419,64,48,26
io4_l2p1n1_l5p1n1_l7n1n2,9.751,56,17,3345,11174,385,73,67,73,41.278,2975,2975,0,0,2361,28,0,17
