clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
8.419,32,10,1698,2916,29,36,26,36,28.566,1385,1378,0,7,1097,16,0,10
9.047,32,10,5409,4196,149,46,22,46,37.229,3973,3973,0,0,4821,16,0,10
8.48,32,18,5398,6442,150,66,26,66,41.703,4583,4583,0,0,4414,16,0,18
9.101,32,10,8830,6289,277,78,22,78,41.377,6686,6686,0,0,8929,16,0,10
9.229,32,20,10313,6681,278,66,27,66,48.935,6280,6280,0,0,9213,16,0,20
8.423,32,5,945,1722,28,16,22,16,21.609,886,886,0,0,664,16,0,5
7.966,32,5,1072,2355,29,33,23,33,22.104,1147,1147,0,0,977,16,0,5
8.423,32,10,1363,2019,30,16,24,16,25.342,1208,1208,0,0,923,16,0,10
8.858,32,5,1087,2316,31,28,23,28,23.011,1275,1275,0,0,991,16,0,5
8.423,32,5,994,1803,29,16,23,16,21.486,963,963,0,0,693,16,0,5
7.966,32,5,1134,2450,30,33,24,33,22.369,1207,1207,0,0,1042,16,0,5
8.423,32,10,1555,2174,31,16,25,16,26.927,1238,1231,0,7,962,16,0,10
8.847,32,10,1839,2901,32,28,26,28,27.026,1487,1480,0,7,1270,16,0,10
9.634,32,10,5471,4163,152,46,22,46,35.378,4183,4183,0,0,4763,16,0,10
8.518,32,18,5460,6395,153,58,26,58,40.584,4624,4624,0,0,4506,16,0,18
9.687,32,10,8892,6256,280,78,22,78,41.886,6888,6888,0,0,8009,16,0,10
9.251,32,20,10391,6630,281,58,27,58,46.977,6206,6206,0,0,9297,12,0,20
9.101,32,152,11292,13556,210,104,67,104,83.836,6219,6219,0,0,6332,16,0,152
9.108,32,176,17244,20515,211,114,76,114,103.242,10244,10244,0,0,14706,16,0,176
9.101,32,154,11550,13696,212,104,68,104,85.624,6374,6374,0,0,6627,16,0,154
9.451,32,176,17259,20353,213,109,76,109,103.388,10348,10348,0,0,12094,16,0,176
9.101,32,152,11341,13637,211,104,68,104,82.076,6281,6281,0,0,6362,16,0,152
9.108,32,176,17306,20611,212,114,77,114,102.594,10240,10240,0,0,14960,16,0,176
9.101,32,154,11742,13851,213,104,69,104,83.729,6301,6293,0,8,6660,16,0,154
9.058,32,178,17851,20813,214,109,78,109,105.067,10499,10492,0,7,14867,16,0,178
9.132,32,184,17667,17279,334,134,76,134,100.496,10526,10526,0,0,11391,16,0,184
9.785,32,78,15840,19673,335,139,42,139,81.483,11447,11447,0,0,14973,16,0,78
9.164,32,121,17440,16700,462,166,55,166,91.278,11975,11975,0,0,12925,16,0,121
9.332,32,104,22129,20947,463,139,51,139,101.947,13869,13869,0,0,18299,16,0,104
9.047,32,26,15729,12059,338,136,26,136,178.716,8799,7608,0,1191,12889,16,0,26
7.966,32,52,20608,17746,339,109,37,109,226.561,11163,9524,0,1639,15667,16,0,52
8.59,32,26,15760,12009,340,136,26,136,204.259,8600,7409,0,1191,12861,16,0,26
9.206,32,52,20616,17651,341,104,37,104,226.978,10660,9021,0,1639,15735,12,0,52
9.047,32,26,15778,12140,339,136,27,136,194.391,8758,7567,0,1191,12931,16,0,26
7.966,32,52,20670,17841,340,109,38,109,238.27,11171,9532,0,1639,15930,16,0,52
8.59,32,26,15952,12158,341,136,27,136,229.629,8569,7370,0,1199,12908,16,0,26
8.813,32,52,20981,17893,342,104,38,104,278.93,10868,9222,0,1646,15722,10,0,52
7.984,32,26,19420,14106,462,166,24,166,236.294,11448,10257,0,1191,16812,16,0,26
7.966,32,52,23614,20880,463,134,35,134,304.478,13875,12236,0,1639,18277,16,0,52
8.016,32,26,22841,16175,590,198,24,198,249.35,14164,12970,0,1194,21372,16,0,26
8.858,32,52,28197,20801,591,134,35,134,304.615,15312,13673,0,1639,22684,14,0,52
7.966,32,5,970,1782,25,16,22,16,16.58,800,800,0,0,771,16,0,5
7.966,64,5,1036,3403,26,16,23,16,32.45,1596,1596,0,0,1175,0,64,5
8.423,32,5,938,1926,27,19,22,19,16.64,929,929,0,0,667,16,0,5
8.419,64,5,1008,3537,28,19,23,19,30.153,1714,1714,0,0,663,0,64,5
7.966,32,20,2139,2823,31,16,28,16,29.417,1751,1751,0,0,1326,16,0,20
7.969,64,5,1692,3180,32,16,23,16,33.036,1815,1815,0,0,1189,0,64,5
7.966,32,5,1039,1881,26,16,23,16,16.459,891,891,0,0,803,16,0,5
8.419,64,5,997,3468,27,16,24,16,31.475,1709,1709,0,0,647,0,64,5
8.423,32,5,1016,2007,28,19,23,19,17.616,1048,1048,0,0,730,16,0,5
7.966,64,5,1161,3652,29,19,24,19,33.798,1947,1947,0,0,1371,0,64,5
7.966,32,20,2458,3047,32,16,29,16,29.205,1703,1697,0,6,1455,16,0,20
8.419,80,20,3506,5568,33,16,30,16,45.033,2494,2488,0,6,1536,16,48,20
8.48,32,20,7257,4819,149,30,26,30,39.956,4643,4643,0,0,6614,16,0,20
7.966,96,40,7630,11540,150,30,35,30,69.051,5614,5614,0,0,5843,32,32,40
8.518,32,20,10392,6716,277,46,26,46,42.585,6814,6814,0,0,10640,16,0,20
8.813,96,78,13724,15752,278,33,50,33,104.609,11527,11527,0,0,10824,26,32,78
8.571,32,20,17125,10360,533,78,26,78,52.717,12517,12517,0,0,17238,16,0,20
8.48,96,80,26309,15498,534,30,51,30,120.626,15951,15951,0,0,23105,32,32,80
7.966,32,8,1183,2090,28,19,23,19,20.385,947,947,0,0,904,16,0,8
8.419,64,8,1226,3731,29,17,24,17,31.134,1773,1773,0,0,810,0,64,8
8.423,32,8,1151,2234,30,22,23,22,21.009,1068,1068,0,0,864,16,0,8
7.966,64,8,1358,3879,31,20,24,20,32.055,1838,1838,0,0,1303,0,64,8
7.966,32,20,2192,3006,34,19,28,19,30.086,1842,1842,0,0,1395,16,0,20
8.858,64,8,1396,3351,35,17,24,17,31.347,1983,1983,0,0,922,0,64,8
7.966,32,8,1252,2189,29,19,24,19,20.207,1020,1020,0,0,936,16,0,8
7.966,64,8,1316,3814,30,17,25,17,33.409,1801,1801,0,0,1320,0,64,8
8.423,32,8,1229,2306,31,22,24,22,21.854,1203,1203,0,0,927,16,0,8
8.419,64,8,1318,3967,32,20,25,20,32.463,1970,1970,0,0,908,0,64,8
7.966,32,20,2511,3230,35,19,29,19,30.821,1791,1784,0,7,1524,16,0,20
7.966,80,20,3644,5739,36,17,30,17,45.195,2543,2537,0,6,2036,16,48,20
8.48,32,20,7278,4976,152,33,26,33,40.966,4551,4551,0,0,6653,16,0,20
8.813,96,40,7660,11682,153,31,35,31,66.648,5741,5741,0,0,5602,32,32,40
8.518,32,20,10413,6875,280,49,26,49,46.855,7177,7177,0,0,10729,16,0,20
7.966,96,78,13816,16033,281,34,50,34,105.196,11153,11153,0,0,11062,28,32,78
8.571,32,20,17146,10519,536,81,26,81,55.716,12434,12434,0,0,16790,16,0,20
9.206,96,80,26339,15603,537,31,51,31,118.77,15992,15992,0,0,22897,32,32,80
7.966,32,14,1637,2322,34,16,25,16,25.991,1140,1140,0,0,1100,16,0,14
7.966,64,14,1747,4375,35,16,26,16,34.88,1914,1914,0,0,1492,0,64,14
9.085,32,14,1605,2466,36,19,25,19,25.319,1286,1286,0,0,934,16,0,14
8.602,64,14,1719,4503,37,19,26,19,34.853,2033,2033,0,0,1178,0,64,14
8.609,32,20,2326,2988,40,16,28,16,29.492,1914,1914,0,0,1563,16,0,20
7.969,64,14,2559,3887,41,16,26,16,35.942,2153,2153,0,0,1508,0,64,14
7.966,32,14,1706,2421,35,16,26,16,26.239,1221,1221,0,0,1132,16,0,14
8.59,64,14,1708,3714,36,16,27,16,34.947,2034,2034,0,0,1162,0,64,14
9.085,32,14,1683,2538,37,19,26,19,26.523,1382,1382,0,0,997,16,0,14
7.966,64,14,2314,3867,38,19,27,19,35.191,2269,2269,0,0,1690,0,64,14
8.609,32,20,2645,3212,41,16,29,16,31.757,1882,1876,0,6,1592,16,0,20
8.59,80,20,3737,5157,42,16,30,16,42.098,2657,2651,0,6,1857,16,48,20
8.48,32,20,7412,4924,158,30,26,30,40.787,4742,4742,0,0,6723,16,0,20
7.966,96,40,8583,10818,159,30,35,30,64.306,5779,5779,0,0,5929,32,32,40
8.518,32,20,10547,6827,286,46,26,46,46.042,7148,7148,0,0,10790,16,0,20
8.813,96,78,13923,15679,287,33,50,33,103.598,11324,11324,0,0,11000,32,32,78
8.571,32,20,17280,10471,542,78,26,78,57.715,12224,12224,0,0,18624,16,0,20
8.48,96,80,26846,15479,543,30,51,30,115.953,15975,15975,0,0,23098,32,32,80
7.966,32,5,1054,1978,27,19,24,19,22.047,942,942,0,0,862,16,0,5
8.419,64,5,1061,3662,28,19,25,19,49.638,1799,1799,0,0,716,0,64,5
8.423,32,5,1022,2122,29,22,24,22,23.758,1100,1100,0,0,755,16,0,5
7.966,64,5,1184,3803,30,22,25,22,46.094,1822,1822,0,0,1263,0,64,5
7.966,32,20,2223,3019,33,19,30,19,35.996,1895,1895,0,0,1513,16,0,20
8.858,64,5,1231,3391,34,19,25,19,50.253,2003,2003,0,0,831,0,64,5
7.966,32,5,1123,2073,28,19,25,19,22.63,1029,1029,0,0,896,16,0,5
7.966,64,5,1376,3334,29,19,26,19,46.612,1831,1831,0,0,1283,0,64,5
8.423,32,5,1100,2199,30,22,25,22,23.754,1203,1203,0,0,818,16,0,5
8.419,64,5,1121,3364,31,22,26,22,50.788,2019,2019,0,0,782,0,64,5
7.966,32,20,2542,3228,34,19,31,19,37.453,1861,1855,0,6,1547,16,0,20
7.966,80,20,4020,5121,35,19,32,19,60.894,2776,2770,0,6,2060,16,48,20
8.48,32,20,7341,5007,151,33,28,33,44.071,4584,4584,0,0,6700,16,0,20
8.813,96,40,7655,10622,152,33,37,33,85.959,5868,5868,0,0,5580,32,32,40
8.518,32,20,10476,6904,279,49,28,49,50.684,7039,7039,0,0,10820,16,0,20
7.966,96,78,14016,15772,280,36,52,36,124.912,11348,11348,0,0,11157,32,32,78
8.571,32,20,17209,10548,535,81,28,81,59.088,12271,12271,0,0,17288,16,0,20
9.206,96,80,26334,15300,536,33,53,33,139.284,15847,15847,0,0,22773,32,32,80
7.966,32,5,1129,2134,30,22,24,22,20.894,1087,1087,0,0,925,16,0,5
7.966,64,5,1243,3839,31,20,25,20,38.019,1989,1989,0,0,1448,0,64,5
8.423,32,5,1097,2277,32,25,24,25,22.974,1220,1220,0,0,887,16,0,5
8.858,64,5,1193,3978,33,23,25,23,39.053,2021,2021,0,0,857,0,64,5
7.966,32,20,2298,3175,36,22,30,22,34.937,2115,2115,0,0,1580,16,0,20
7.966,64,5,1951,3533,37,20,25,20,38.512,2219,2219,0,0,1464,0,64,5
7.966,32,5,1198,2229,31,22,25,22,21.762,1152,1152,0,0,959,16,0,5
8.847,64,5,1182,3374,32,20,26,20,38.543,1984,1984,0,0,842,0,64,5
8.423,32,5,1143,2339,33,25,25,25,22.81,1321,1321,0,0,917,16,0,5
7.969,64,5,1674,3500,34,23,26,23,39.453,2341,2341,0,0,1613,0,64,5
7.966,32,20,2617,3399,37,22,31,22,34.634,1998,1992,0,6,1611,16,0,20
8.847,80,20,3691,5202,38,20,32,20,51.785,2762,2756,0,6,1728,16,48,20
8.518,32,20,7352,5140,154,36,28,36,42.524,4689,4689,0,0,6699,16,0,20
7.966,96,40,8423,10838,155,34,37,34,72.319,6134,6134,0,0,6056,32,32,40
8.555,32,20,10487,7039,282,52,28,52,48.468,7315,7315,0,0,9877,16,0,20
8.835,96,78,13845,15716,283,37,52,37,113.201,11409,11409,0,0,11097,32,32,78
8.609,32,20,17220,10683,538,84,28,84,61.119,12657,12657,0,0,17874,16,0,20
8.518,96,80,26686,15515,539,34,53,34,124.121,16222,16222,0,0,23306,24,32,80
7.966,32,5,1322,2048,36,19,24,19,19.545,1067,1067,0,0,990,16,0,5
8.59,64,5,1351,4148,37,19,25,19,30.602,1909,1909,0,0,1008,0,64,5
9.085,32,5,1290,2189,38,22,24,22,19.133,1186,1186,0,0,824,16,0,5
7.966,64,5,1504,4302,39,22,25,22,30.876,1962,1962,0,0,1391,0,64,5
8.609,32,20,2491,3089,42,19,30,19,31.326,2013,2013,0,0,1641,16,0,20
8.835,64,5,1521,3580,43,19,25,19,32.392,2115,2115,0,0,1119,0,64,5
7.966,32,5,1391,2143,37,19,25,19,19.77,1138,1138,0,0,1022,16,0,5
7.966,64,5,1852,3572,38,19,26,19,31.415,1949,1949,0,0,1410,0,64,5
9.085,32,5,1336,2251,39,22,25,22,19.66,1267,1267,0,0,855,16,0,5
8.813,64,5,1411,3559,40,22,26,22,31.69,2112,2112,0,0,1074,0,64,5
8.609,32,20,2810,3313,43,19,31,19,32.425,2002,1995,0,7,1672,16,0,20
7.966,80,20,4496,5374,44,19,32,19,44.954,2741,2735,0,6,2188,16,48,20
7.966,32,20,7481,5065,160,33,28,33,39.863,4676,4676,0,0,6700,16,0,20
8.813,96,40,7849,10805,161,33,37,33,68.046,6088,6088,0,0,5783,32,32,40
7.966,32,20,10616,6949,288,49,28,49,46.835,7404,7404,0,0,10742,16,0,20
7.966,96,78,14364,15980,289,36,52,36,103.702,11797,11797,0,0,10882,26,32,78
7.992,32,20,17349,10593,544,81,28,81,55.303,12107,12107,0,0,18397,16,0,20
8.973,96,80,26528,15517,545,33,53,33,117.607,15903,15903,0,0,22999,32,32,80
7.966,32,14,2016,5462,212,60,23,60,27.774,1289,1289,0,0,1372,16,0,14
8.582,96,26,3013,10461,213,60,28,60,43.315,2945,2945,0,0,2422,32,32,26
9.687,32,14,1984,5606,214,63,23,63,29.838,1384,1384,0,0,1206,16,0,14
9.263,96,26,2985,10589,215,63,28,63,44.433,2943,2943,0,0,2103,32,32,26
8.644,32,20,2705,6128,218,60,26,60,34.267,2041,2041,0,0,1835,16,0,20
8.574,96,26,4033,9633,219,60,28,60,43.874,3026,3026,0,0,2433,32,32,26
7.966,32,14,2085,5557,213,60,24,60,28.669,1342,1342,0,0,1403,16,0,14
9.286,96,26,2978,9408,214,60,29,60,45.077,2888,2888,0,0,2087,32,32,26
9.687,32,14,2062,5674,215,63,24,63,28.791,1555,1555,0,0,1268,16,0,14
8.574,96,26,3788,9598,216,63,29,63,45.8,3144,3144,0,0,2615,32,32,26
8.644,32,20,3024,6352,219,60,27,60,34.198,1994,1988,0,6,1863,16,0,20
9.286,112,32,5003,10867,220,60,32,60,52.097,3659,3653,0,6,2787,48,16,32
7.969,32,20,7766,8053,336,74,24,74,43.009,4824,4824,0,0,6972,16,0,20
8.593,128,40,9385,15994,337,74,33,74,62.425,6635,6635,0,0,6574,64,0,40
7.984,32,20,10901,9957,464,90,24,90,49.619,7330,7330,0,0,10727,16,0,20
9.274,128,78,14515,20343,465,77,48,77,103.011,11933,11933,0,0,11662,64,0,78
8.016,32,20,17627,13585,720,122,24,122,60.802,12357,12357,0,0,18487,16,0,20
8.612,128,80,27648,20629,721,74,49,74,111.991,16681,16681,0,0,23316,64,0,80
9.164,32,26,5291,7937,340,79,27,79,58.851,4313,4313,0,0,4225,16,0,26
9.485,72,26,7270,12023,341,63,28,63,61.79,6412,6412,0,0,5972,8,56,26
9.751,32,26,5259,8051,342,82,27,82,57.677,4380,4380,0,0,4222,16,0,26
8.048,72,26,7466,12153,343,66,28,66,62.25,6262,6262,0,0,6428,8,56,26
9.164,32,32,5980,8613,346,79,30,79,61.606,5064,5064,0,0,4690,16,0,32
9.252,72,26,7440,11507,347,63,28,63,62.787,6605,6605,0,0,6084,8,56,26
9.164,32,26,5360,8042,341,79,28,79,59.512,4406,4406,0,0,4258,16,0,26
8.555,72,26,7704,11598,342,63,29,63,60.615,6509,6509,0,0,6420,8,56,26
9.751,32,26,5305,8155,343,82,28,82,58.664,4471,4471,0,0,4254,16,0,26
9.463,72,26,7330,11591,344,66,29,66,61.519,6539,6539,0,0,6160,8,56,26
9.164,32,32,6299,8865,347,79,31,79,61.707,5003,4997,0,6,4721,16,0,32
8.71,88,32,9900,13028,348,63,32,63,64.593,7076,7070,0,6,7038,24,40,32
9.203,32,32,11137,10690,464,93,28,93,69.019,7821,7821,0,0,9703,16,0,32
9.497,104,40,11966,17806,465,77,33,77,72.636,9993,9993,0,0,9610,40,24,40
9.242,32,32,14208,12539,592,109,28,109,77.526,10197,10197,0,0,12506,16,0,32
8.635,104,78,18414,22980,593,80,48,80,116.04,15376,15376,0,0,14874,40,24,78
9.319,32,32,21030,16171,848,141,28,141,89.945,15938,15938,0,0,20893,16,0,32
9.516,104,80,30645,22588,849,77,49,77,123.439,20090,20090,0,0,26732,40,24,80
7.966,32,46,29640,17262,596,108,36,108,299.676,15411,13037,0,2374,23443,16,0,46
8.48,96,101,44365,27530,661,60,58,60,360.844,24287,21081,0,3206,34155,28,32,101
9.634,32,46,29608,17401,598,111,36,111,310.505,15844,13470,0,2374,23365,16,0,46
9.218,96,101,44369,27562,663,63,58,63,370.389,24485,21279,0,3206,33295,32,32,101
8.59,32,46,29648,17262,602,108,36,108,351.431,15415,13041,0,2374,23309,16,0,46
8.537,96,101,45463,26571,667,60,58,60,367.378,24800,21594,0,3206,34469,32,28,101
7.966,32,46,29709,17357,597,108,37,108,310.232,15240,12866,0,2374,23496,16,0,46
9.206,96,101,44358,26243,662,60,59,60,480.33,24358,21152,0,3206,33989,32,32,101
9.634,32,46,29654,17467,599,111,37,111,337.44,15418,13044,0,2374,23402,16,0,46
8.499,96,101,45186,26530,664,63,59,63,501.488,24355,21149,0,3206,33515,32,32,101
8.59,32,46,29967,17480,603,108,37,108,404.24,15800,13419,0,2381,23343,16,0,46
9.206,112,101,45706,26973,668,60,59,60,677.307,24448,21236,0,3212,34286,48,16,101
7.969,32,46,33735,19073,720,122,34,122,409.206,18507,16133,0,2374,27487,16,0,46
7.966,128,101,48266,31081,785,74,56,74,680.18,26382,23176,0,3206,36254,60,0,101
7.984,32,46,36870,20957,848,138,34,138,418.886,21048,18674,0,2374,31210,16,0,46
8.824,128,101,49363,33104,913,77,56,77,718.989,30176,26970,0,3206,38460,64,0,101
8.016,32,46,43603,24577,1104,170,34,170,461.993,25781,23407,0,2374,39840,16,0,46
7.966,128,101,60617,33171,1169,74,56,74,727.05,34665,31459,0,3206,48762,64,0,101
7.966,32,5,922,2507,29,24,26,24,22.407,1145,1145,0,0,846,0,32,5
8.528,256,5,1495,11064,30,24,27,24,81.382,4935,4935,0,0,677,0,256,5
7.966,32,5,1012,2516,31,25,26,25,21.273,1199,1199,0,0,835,0,32,5
7.966,256,5,1630,11467,32,25,27,25,82.988,4800,4800,0,0,3159,0,256,5
9.066,32,5,1037,2809,35,31,26,31,20.749,1393,1393,0,0,768,0,32,5
8.955,256,5,1814,12578,36,31,27,31,73.124,5003,5003,0,0,793,0,256,5
7.966,32,40,3816,4948,43,24,40,24,52.684,3346,3346,0,0,2545,0,32,40
7.966,256,5,2331,8565,44,24,27,24,82.661,5186,5186,0,0,3204,0,256,5
7.966,32,5,951,2578,30,24,27,24,22.384,1214,1214,0,0,868,0,32,5
8.528,256,5,1521,11099,31,24,28,24,82.244,5031,5031,0,0,699,0,256,5
7.966,32,5,1071,2595,32,25,27,25,23.524,1373,1373,0,0,964,0,32,5
7.966,256,5,1689,11684,33,25,28,25,93.881,5533,5533,0,0,3731,0,256,5
9.066,32,5,1145,2841,36,31,27,31,23.651,1568,1568,0,0,878,0,32,5
8.955,256,5,1742,12842,37,31,28,31,84.408,5465,5465,0,0,916,0,256,5
7.966,40,40,4454,5295,44,24,41,24,51.533,3141,3135,0,6,2575,8,24,40
7.966,320,40,8937,19690,45,24,42,24,126.909,6924,6917,0,7,4986,64,192,40
7.966,48,40,9564,7048,153,30,38,30,62.226,6452,6452,0,0,7944,16,16,40
8.955,384,80,12995,33486,154,30,55,30,162.997,13525,13525,0,0,9422,128,128,80
8.48,48,40,13943,8731,281,38,38,38,64.85,8921,8921,0,0,12075,16,16,40
7.969,384,160,27015,35668,282,31,87,31,236.051,20263,20263,0,0,20393,120,128,160
8.518,48,40,20120,12302,537,54,38,54,74.924,13699,13699,0,0,17830,16,16,40
8.955,384,320,48501,52459,538,37,151,37,367.966,36651,36651,0,0,38862,128,128,320
8.571,48,40,33424,19082,1049,86,38,86,94.467,23083,23083,0,0,33931,16,16,40
7.966,384,320,77414,52177,1050,30,151,30,404.188,49871,49871,0,0,63465,128,128,320
7.966,32,5,1132,2578,32,25,26,25,18.893,1192,1192,0,0,896,0,32,5
8.528,256,8,1750,11815,33,25,28,25,68.915,5088,5088,0,0,861,0,256,8
7.969,32,5,1221,2583,34,26,26,26,18.868,1261,1261,0,0,885,0,32,5
7.966,256,8,1877,12188,35,26,28,26,75.491,4947,4947,0,0,3275,0,256,8
9.085,32,5,1247,2876,38,32,26,32,19.003,1468,1468,0,0,916,0,32,5
8.967,256,8,2069,13328,39,32,28,32,64.355,5146,5146,0,0,980,0,256,8
7.966,32,40,4026,5019,46,25,40,25,48.574,3399,3399,0,0,2601,0,32,40
7.966,256,8,2586,8851,47,25,28,25,73.355,5327,5327,0,0,3325,0,256,8
7.966,32,5,1161,2649,33,25,27,25,19.047,1266,1266,0,0,918,0,32,5
8.528,256,8,1776,11850,34,25,29,25,69.776,5170,5170,0,0,883,0,256,8
7.969,32,5,1281,2666,35,26,27,26,19.628,1425,1425,0,0,1014,0,32,5
7.966,256,8,1944,12428,36,26,29,26,79.754,5681,5681,0,0,3862,0,256,8
9.085,32,5,1355,2908,39,32,27,32,19.458,1599,1599,0,0,1022,0,32,5
8.967,256,8,1997,13583,40,32,29,32,71.758,5589,5589,0,0,1103,0,256,8
7.966,40,40,4664,5366,47,25,41,25,48.937,3196,3190,0,6,2625,8,24,40
7.966,320,40,9032,20318,48,25,42,25,112.444,7021,7014,0,7,5044,64,192,40
7.966,48,40,9741,7109,156,31,38,31,57.089,6267,6267,0,0,7959,16,16,40
8.967,384,80,13090,34095,157,31,55,31,148.698,13651,13651,0,0,9301,128,128,80
8.518,48,40,14121,8797,284,39,38,39,63.831,8875,8875,0,0,12843,16,16,40
7.969,384,160,27110,36276,285,32,87,32,221.941,21701,21701,0,0,20513,120,128,160
8.555,48,40,20298,12369,540,55,38,55,74.73,13730,13730,0,0,20819,16,16,40
8.967,384,320,48555,53032,541,38,151,38,371.978,36121,36121,0,0,39243,124,128,320
8.609,48,40,33602,19149,1052,87,38,87,93.97,23697,23697,0,0,34131,16,16,40
7.966,384,320,77477,52778,1053,31,151,31,383.867,50294,50294,0,0,63559,128,128,320
7.966,32,14,1643,3308,38,31,29,31,30.494,1507,1507,0,0,1303,0,32,14
8.955,256,14,2209,13287,39,27,30,27,60.872,5260,5260,0,0,1190,0,256,14
7.966,32,14,1732,3313,40,32,29,32,30.026,1584,1584,0,0,1292,0,32,14
7.966,256,14,2529,13668,41,28,30,28,69.675,5136,5136,0,0,3473,0,256,14
8.423,32,14,1758,3609,44,38,29,38,30.135,1734,1734,0,0,1322,0,32,14
8.858,256,14,2528,14816,45,34,30,34,60.84,5324,5324,0,0,1308,0,256,14
8.609,32,40,4057,5374,52,31,40,31,52.722,3550,3550,0,0,2819,0,32,40
7.966,256,14,3045,9407,53,27,30,27,66.212,5525,5525,0,0,3527,0,256,14
7.966,32,14,1672,3379,39,31,30,31,30.3,1590,1590,0,0,1325,0,32,14
8.955,256,14,2235,13322,40,27,31,27,62.404,5371,5371,0,0,1215,0,256,14
7.966,32,14,1792,3387,41,32,30,32,29.933,1724,1724,0,0,1421,0,32,14
7.966,256,14,2403,13904,42,28,31,28,71.045,5878,5878,0,0,4051,0,256,14
8.423,32,14,1866,3628,45,38,30,38,32.465,2035,2035,0,0,1433,0,32,14
8.858,256,14,2456,15051,46,34,31,34,63.689,5845,5845,0,0,1429,0,256,14
8.609,40,40,4695,5721,53,31,41,31,51.618,3331,3325,0,6,2840,8,24,40
7.966,320,40,9171,21544,54,27,42,27,98.886,7088,7081,0,7,5114,64,192,40
