clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
9.263,32,154,11742,13742,213,104,69,104,92.606,6313,6304,0,9,6549,16,0,154
9.058,32,178,17851,20813,214,109,78,109,113.226,10477,10468,0,9,11809,16,0,178
9.309,32,184,17667,17150,334,134,76,134,115.467,10510,10510,0,0,11390,16,0,184
9.543,32,24,13472,17280,335,139,24,139,58.855,10483,10483,0,0,14804,16,0,24
9.437,32,121,17440,16613,462,166,55,166,96.827,11952,11952,0,0,12926,16,0,121
9.332,32,104,22129,20947,463,139,51,139,96.84,13863,13863,0,0,18295,16,0,104
8.835,32,26,15729,12030,338,136,26,136,142.75,8803,7611,0,1192,12377,16,0,26
8.966,32,52,20569,17690,339,109,37,109,162.45,11241,9600,0,1641,15580,16,0,52
8.835,32,26,15760,11980,340,136,26,136,162.822,8521,7329,0,1192,12339,16,0,26
9.206,32,52,20616,17651,341,104,37,104,167.996,10664,9023,0,1641,15621,12,0,52
8.835,32,26,15771,12111,339,136,27,136,157.529,8808,7616,0,1192,12407,16,0,26
8.966,32,52,20630,17781,340,109,38,109,188.369,11500,9859,0,1641,15604,16,0,52
8.835,32,26,15952,12129,341,136,27,136,185.764,8542,7341,0,1201,12378,16,0,26
8.813,32,52,20981,17893,342,104,38,104,238.581,11099,9449,0,1650,15646,16,0,52
8.905,32,26,19420,14077,462,166,24,166,198.606,11462,10270,0,1192,15885,16,0,26
8.835,32,52,23607,20824,463,134,35,134,249.581,13535,11894,0,1641,18087,16,0,52
8.999,32,26,22841,16146,590,198,24,198,203.027,14209,13014,0,1195,19508,16,0,26
8.858,32,52,28197,20801,591,134,35,134,259.56,15339,13698,0,1641,22551,14,0,52
8.419,32,5,776,1756,25,16,22,16,13.073,795,795,0,0,609,16,0,5
8.419,64,5,972,3397,26,16,23,16,27.552,1597,1597,0,0,627,0,64,5
8.419,32,5,828,1908,27,19,22,19,13.273,866,866,0,0,640,16,0,5
8.419,64,5,1008,3537,28,19,23,19,27.89,1662,1662,0,0,669,0,64,5
8.419,32,20,2029,2787,31,16,28,16,22.853,1760,1760,0,0,1361,16,0,20
8.858,64,5,1142,3114,32,16,23,16,28.815,1736,1736,0,0,743,0,64,5
8.419,32,5,837,1851,26,16,23,16,13.115,878,878,0,0,643,16,0,5
8.419,64,5,997,3468,27,16,24,16,27.746,1678,1678,0,0,652,0,64,5
8.419,32,5,899,1989,28,19,23,19,13.618,987,987,0,0,721,16,0,5
8.419,64,5,1064,3642,29,19,24,19,28.161,1812,1812,0,0,728,0,64,5
8.419,32,20,2348,3011,32,16,29,16,23.901,1705,1696,0,9,1393,16,0,20
8.419,80,20,3506,5568,33,16,30,16,40.841,2468,2458,0,10,1543,16,48,20
9.206,32,20,7147,4783,149,30,26,30,32.862,4657,4657,0,0,6164,16,0,20
8.813,96,40,7598,11492,150,30,35,30,59.784,5550,5550,0,0,5521,32,32,40
9.229,32,20,10282,6680,277,46,26,46,40.002,7164,7164,0,0,9057,16,0,20
8.813,96,78,13724,15752,278,33,50,33,87.143,11430,11430,0,0,10820,26,32,78
9.298,32,20,17015,10324,533,78,26,78,53.167,12421,12421,0,0,15464,16,0,20
9.206,96,80,26277,15402,534,30,51,30,106.685,15714,15714,0,0,22819,32,32,80
8.419,32,8,1041,2070,28,19,23,19,16.222,950,950,0,0,806,16,0,8
8.419,64,8,1226,3731,29,17,24,17,28.826,1734,1734,0,0,815,0,64,8
8.419,32,8,1093,2222,30,22,23,22,16.427,1027,1027,0,0,836,16,0,8
8.419,64,8,1262,3871,31,20,24,20,29.303,1798,1798,0,0,854,0,64,8
8.419,32,20,2134,2978,34,19,28,19,24.761,1840,1840,0,0,1494,16,0,20
8.858,64,8,1396,3351,35,17,24,17,30.162,1886,1886,0,0,928,0,64,8
8.419,32,8,1102,2165,29,19,24,19,16.381,997,997,0,0,876,16,0,8
8.419,64,8,1251,3802,30,17,25,17,28.689,1807,1807,0,0,841,0,64,8
8.419,32,8,1164,2294,31,22,24,22,16.899,1111,1111,0,0,914,16,0,8
8.419,64,8,1318,3967,32,20,25,20,29.534,1919,1919,0,0,912,0,64,8
8.419,32,20,2453,3202,35,19,29,19,25.018,1775,1766,0,9,1526,16,0,20
8.419,80,20,3600,5779,36,17,30,17,40.978,2549,2539,0,10,1666,16,48,20
9.206,32,20,7220,4948,152,33,26,33,35.048,4571,4571,0,0,6263,16,0,20
8.813,96,40,7660,11682,153,31,35,31,60.892,5655,5655,0,0,5606,32,32,40
9.229,32,20,10355,6847,280,49,26,49,42.733,7194,7194,0,0,9125,16,0,20
8.813,96,78,13786,15941,281,34,50,34,89.338,11050,11050,0,0,10803,32,32,78
9.298,32,20,17088,10491,536,81,26,81,57.903,12156,12156,0,0,16115,16,0,20
9.206,96,80,26339,15603,537,31,51,31,103.828,15853,15853,0,0,22844,32,32,80
8.493,32,14,1495,2298,34,16,25,16,19.979,1123,1123,0,0,876,16,0,14
8.59,64,14,1683,4363,35,16,26,16,31.85,1919,1919,0,0,1142,0,64,14
8.562,32,14,1547,2450,36,19,25,19,20.477,1183,1183,0,0,924,16,0,14
8.602,64,14,1719,4503,37,19,26,19,32.097,1979,1979,0,0,1182,0,64,14
8.493,32,20,2268,2960,40,16,28,16,25.241,1913,1913,0,0,1437,16,0,20
8.858,64,14,1853,3791,41,16,26,16,32.522,2074,2074,0,0,1253,0,64,14
8.493,32,14,1556,2393,35,16,26,16,20.603,1191,1191,0,0,937,16,0,14
8.59,64,14,1708,3714,36,16,27,16,32.944,2003,2003,0,0,1166,0,64,14
8.562,32,14,1618,2522,37,19,26,19,20.58,1279,1279,0,0,986,16,0,14
8.602,64,14,1775,3783,38,19,27,19,32.859,2167,2167,0,0,1240,0,64,14
8.493,32,20,2587,3184,41,16,29,16,26.104,1850,1841,0,9,1472,16,0,20
8.59,80,20,3737,5157,42,16,30,16,40.025,2625,2615,0,10,1862,16,48,20
9.206,32,20,7354,4896,158,30,26,30,35.785,4904,4904,0,0,6200,16,0,20
8.813,96,40,7797,10654,159,30,35,30,59.537,5715,5715,0,0,5803,32,32,40
9.229,32,20,10489,6799,286,46,26,46,41.039,7235,7235,0,0,9115,16,0,20
8.813,96,78,13923,15679,287,33,50,33,89.147,11245,11245,0,0,11010,32,32,78
9.298,32,20,17222,10443,542,78,26,78,57.143,12430,12430,0,0,15303,16,0,20
9.206,96,80,26476,15331,543,30,51,30,104.61,15761,15761,0,0,22979,32,32,80
8.419,32,5,891,1965,27,19,24,19,17.343,955,955,0,0,735,16,0,5
8.419,64,5,1061,3662,28,19,25,19,39.542,1771,1771,0,0,722,0,64,5
8.419,32,5,943,2117,29,22,24,22,18.712,1050,1050,0,0,762,16,0,5
8.419,64,5,1097,3810,30,22,25,22,39.589,1871,1871,0,0,764,0,64,5
8.419,32,20,2144,2996,33,19,30,19,28.409,1927,1927,0,0,1512,16,0,20
8.858,64,5,1231,3391,34,19,25,19,39.844,1911,1911,0,0,835,0,64,5
8.419,32,5,952,2056,28,19,25,19,17.973,1064,1064,0,0,763,16,0,5
8.419,64,5,1086,3301,29,19,26,19,38.923,1881,1881,0,0,746,0,64,5
8.419,32,5,982,2179,30,22,25,22,17.99,1181,1181,0,0,801,16,0,5
8.419,64,5,1121,3364,31,22,26,22,39.222,2010,2010,0,0,788,0,64,5
8.419,32,20,2463,3206,34,19,31,19,28.721,1858,1849,0,9,1514,16,0,20
8.419,80,20,3595,5115,35,19,32,19,51.805,2640,2630,0,10,1633,16,48,20
9.206,32,20,7230,4969,151,33,28,33,38.114,4612,4612,0,0,6322,16,0,20
8.813,96,40,7655,10622,152,33,37,33,72.224,5858,5858,0,0,5583,32,32,40
9.229,32,20,10365,6866,279,49,28,49,44.145,7215,7215,0,0,9186,16,0,20
8.813,96,78,13781,15650,280,36,52,36,99.543,11584,11584,0,0,10801,28,32,78
9.298,32,20,17083,10510,535,81,28,81,62.187,12358,12358,0,0,15384,16,0,20
9.206,96,80,26334,15300,536,33,53,33,119.478,15888,15888,0,0,22935,32,32,80
8.847,32,5,986,2114,30,22,24,22,17.535,1084,1084,0,0,826,16,0,5
8.847,64,5,1157,3831,31,20,25,20,32.94,1860,1860,0,0,820,0,64,5
8.858,32,5,1038,2265,32,25,24,25,18.357,1157,1157,0,0,861,16,0,5
8.858,64,5,1193,3978,33,23,25,23,33.48,1970,1970,0,0,863,0,64,5
8.847,32,20,2239,3145,36,22,30,22,28.231,2123,2123,0,0,1579,16,0,20
8.602,64,5,1327,3457,37,20,25,20,33.806,2007,2007,0,0,934,0,64,5
8.847,32,5,1047,2205,31,22,25,22,17.84,1173,1173,0,0,859,16,0,5
8.847,64,5,1182,3374,32,20,26,20,33.01,1970,1970,0,0,850,0,64,5
8.858,32,5,1077,2327,33,25,25,25,18.43,1318,1318,0,0,890,16,0,5
8.858,64,5,1217,3436,34,23,26,23,33.52,2081,2081,0,0,889,0,64,5
8.847,32,20,2558,3369,37,22,31,22,28.106,1970,1961,0,9,1608,16,0,20
8.847,80,20,3691,5202,38,20,32,20,46.292,2738,2728,0,10,1735,16,48,20
9.229,32,20,7293,5110,154,36,28,36,38.708,4690,4690,0,0,6381,16,0,20
8.835,96,40,7719,10688,155,34,37,34,65.706,5989,5989,0,0,5647,32,32,40
9.251,32,20,10428,7009,282,52,28,52,45.705,7376,7376,0,0,9174,16,0,20
8.835,96,78,13845,15716,283,37,52,37,95.02,11398,11398,0,0,11110,32,32,78
9.321,32,20,17147,10653,538,84,28,84,58.366,12700,12700,0,0,15466,16,0,20
9.229,96,80,26398,15381,539,34,53,34,110.398,16044,16044,0,0,22958,32,32,80
8.493,32,5,1179,2027,36,19,24,19,16.409,1091,1091,0,0,770,16,0,5
8.59,64,5,1351,4148,37,19,25,19,29.547,1878,1878,0,0,1012,0,64,5
8.813,32,5,1231,2176,38,22,24,22,16.322,1136,1136,0,0,794,16,0,5
8.813,64,5,1387,4293,39,22,25,22,29.488,1967,1967,0,0,1056,0,64,5
8.493,32,20,2432,3058,42,19,30,19,25.708,2040,2040,0,0,1545,16,0,20
8.835,64,5,1521,3580,43,19,25,19,30.086,2028,2028,0,0,1127,0,64,5
8.493,32,5,1240,2118,37,19,25,19,16.618,1184,1184,0,0,799,16,0,5
8.59,64,5,1376,3499,38,19,26,19,29.262,1969,1969,0,0,1036,0,64,5
8.813,32,5,1270,2238,39,22,25,22,17.508,1279,1279,0,0,896,16,0,5
8.813,64,5,1411,3559,40,22,26,22,30.324,2092,2092,0,0,1078,0,64,5
8.493,32,20,2751,3282,43,19,31,19,26.958,1963,1954,0,9,1607,16,0,20
8.59,80,20,3885,5327,44,19,32,19,42.253,2750,2740,0,10,1923,16,48,20
8.876,32,20,7422,5034,160,33,28,33,35.291,4775,4775,0,0,6249,16,0,20
8.813,96,40,7849,10805,161,33,37,33,62.18,6069,6069,0,0,5790,32,32,40
8.898,32,20,10557,6918,288,49,28,49,42.736,7188,7188,0,0,9078,16,0,20
8.813,96,78,13973,15353,289,36,52,36,91.661,11489,11489,0,0,11021,32,32,78
8.968,32,20,17277,10562,544,81,28,81,55.838,12993,12993,0,0,15348,16,0,20
8.973,96,80,26528,15517,545,33,53,33,104.446,15827,15827,0,0,23005,32,32,80
8.835,32,14,1874,5438,212,60,23,60,22.482,1298,1298,0,0,1159,16,0,14
9.286,96,26,2949,10441,213,60,28,60,46.303,2803,2803,0,0,2070,32,32,26
9.229,32,14,1926,5590,214,63,23,63,23.174,1346,1346,0,0,1186,16,0,14
9.263,96,26,2985,10589,215,63,28,63,47.458,2896,2896,0,0,2109,32,32,26
8.835,32,20,2647,6100,218,60,26,60,27.964,2046,2046,0,0,1717,16,0,20
9.263,96,26,3119,9497,219,60,28,60,47.347,2918,2918,0,0,2181,32,32,26
8.835,32,14,1935,5529,213,60,24,60,22.619,1339,1339,0,0,1223,16,0,14
9.286,96,26,2978,9408,214,60,29,60,46.366,2860,2860,0,0,2093,32,32,26
9.229,32,14,1997,5658,215,63,24,63,23.736,1517,1517,0,0,1272,16,0,14
9.263,96,26,3041,9474,216,63,29,63,48.002,3012,3012,0,0,2165,32,32,26
8.835,32,20,2966,6324,219,60,27,60,28.228,1979,1970,0,9,1747,16,0,20
9.286,112,32,5003,10867,220,60,32,60,55.037,3637,3627,0,10,2795,48,16,32
8.858,32,20,7701,8025,336,74,24,74,38.896,4775,4775,0,0,6452,16,0,20
9.274,128,40,8391,15798,337,74,33,74,66.184,6407,6407,0,0,6450,64,0,40
8.905,32,20,10842,9929,464,90,24,90,46.243,7343,7343,0,0,9303,16,0,20
9.274,128,78,14515,20343,465,77,48,77,95.299,11848,11848,0,0,11652,64,0,78
8.999,32,20,17569,13557,720,122,24,122,58.366,12253,12253,0,0,15695,16,0,20
9.285,128,80,27070,20449,721,74,49,74,108.046,16666,16666,0,0,23801,60,0,80
9.549,32,26,5207,7909,340,79,27,79,43.797,4267,4267,0,0,4202,16,0,26
9.485,72,26,7270,12023,341,63,28,63,55.548,6354,6354,0,0,5975,8,56,26
9.573,32,26,5259,8031,342,82,27,82,43.953,4330,4330,0,0,4231,16,0,26
9.23,72,26,7338,12133,343,66,28,66,54.178,6456,6456,0,0,6046,8,56,26
9.549,32,32,5980,8581,346,79,30,79,46.167,5036,5036,0,0,4702,16,0,32
9.252,72,26,7440,11507,347,63,28,63,54.743,6420,6420,0,0,6083,8,56,26
9.549,32,26,5268,8014,341,79,28,79,42.334,4363,4363,0,0,4236,16,0,26
9.531,72,26,7327,11530,342,63,29,63,55.248,6331,6331,0,0,6025,8,56,26
9.573,32,26,5298,8135,343,82,28,82,44.621,4440,4440,0,0,4262,16,0,26
9.463,72,26,7330,11591,344,66,29,66,54.788,6533,6533,0,0,6203,8,56,26
9.549,32,32,6299,8833,347,79,31,79,46.797,4995,4986,0,9,4730,16,0,32
9.485,88,32,9324,12988,348,63,32,63,61.273,6899,6889,0,10,6699,24,40,32
9.564,32,32,11137,10658,464,93,28,93,54.738,7754,7754,0,0,9706,16,0,32
9.497,104,40,11966,17806,465,77,33,77,71.109,9840,9840,0,0,9612,40,24,40
9.309,32,32,14208,12507,592,109,28,109,63.584,10156,10156,0,0,12506,16,0,32
9.486,104,78,18100,22368,593,80,48,80,99.95,15272,15272,0,0,14821,40,24,78
9.683,32,32,21030,16139,848,141,28,141,75.409,16058,16058,0,0,18843,16,0,32
9.516,104,80,30645,22588,849,77,49,77,114.987,20201,20201,0,0,26931,40,24,80
8.835,32,46,29556,17202,596,108,36,108,216.722,15291,12915,0,2376,23347,16,0,46
9.206,96,101,44333,27420,661,60,58,60,317.472,24196,20986,0,3210,33351,32,32,101
9.229,32,46,29608,17349,598,111,36,111,221.921,15561,13185,0,2376,23534,16,0,46
9.218,96,101,44369,27562,663,63,58,63,315.362,24404,21194,0,3210,33297,32,32,101
8.835,32,46,29648,17210,602,108,36,108,284.047,15350,12974,0,2376,23327,16,0,46
9.24,96,101,44503,26333,667,60,58,60,311.239,24176,20966,0,3210,33361,32,32,101
8.835,32,46,29617,17293,597,108,37,108,239.968,15809,13433,0,2376,23388,16,0,46
9.206,96,101,44358,26243,662,60,59,60,365.992,24395,21185,0,3210,33302,32,32,101
9.229,32,46,29647,17415,599,111,37,111,279.538,15715,13339,0,2376,23408,16,0,46
9.218,96,101,44393,26304,664,63,59,63,437.73,24396,21186,0,3210,33370,32,32,101
8.835,32,46,29967,17428,603,108,37,108,327.273,15543,13158,0,2385,23338,16,0,46
9.206,112,101,45706,26973,668,60,59,60,552.707,24364,21144,0,3220,33415,48,16,101
8.858,32,46,33735,19021,720,122,34,122,345.206,18550,16174,0,2376,27085,16,0,46
8.824,128,101,47226,30811,785,74,56,74,565.477,26371,23161,0,3210,35282,60,0,101
8.905,32,46,36870,20905,848,138,34,138,353.669,21065,18689,0,2376,30042,16,0,46
8.824,128,101,49363,33104,913,77,56,77,611.539,30148,26938,0,3210,37467,64,0,101
8.999,32,46,43603,24525,1104,170,34,170,375.009,25875,23499,0,2376,36467,16,0,46
8.835,128,101,59993,32965,1169,74,56,74,635.301,34772,31562,0,3210,47608,64,0,101
8.419,32,5,858,2461,29,24,26,24,18.224,1115,1115,0,0,627,0,32,5
8.528,256,5,1495,11064,30,24,27,24,87.126,4893,4893,0,0,682,0,256,5
8.419,32,5,914,2490,31,25,26,25,17.378,1144,1144,0,0,644,0,32,5
8.528,256,5,1534,11461,32,25,27,25,81.592,4847,4847,0,0,719,0,256,5
8.858,32,5,1005,2779,35,31,26,31,18.495,1349,1349,0,0,743,0,32,5
8.955,256,5,1814,12578,36,31,27,31,81.426,4906,4906,0,0,797,0,256,5
8.419,32,40,3784,4876,43,24,40,24,41.366,3313,3313,0,0,2486,0,32,40
8.813,256,5,2043,8343,44,24,27,24,82.134,5169,5169,0,0,950,0,256,5
8.419,32,5,886,2528,30,24,27,24,18.713,1128,1128,0,0,757,0,32,5
8.528,256,5,1521,11099,31,24,28,24,86.675,4991,4991,0,0,704,0,256,5
8.419,32,5,974,2573,32,25,27,25,19.225,1335,1335,0,0,736,0,32,5
8.528,256,5,1592,11674,33,25,28,25,87.39,5374,5374,0,0,808,0,256,5
8.858,32,5,1106,2811,36,31,27,31,19.778,1534,1534,0,0,861,0,32,5
8.955,256,5,1742,12842,37,31,28,31,89.748,5376,5376,0,0,921,0,256,5
8.419,40,40,4422,5223,44,24,41,24,42.302,3117,3108,0,9,2519,8,24,40
8.528,320,40,8766,19706,45,24,42,24,121.634,6987,6978,0,9,2758,64,192,40
8.813,48,40,9532,6976,153,30,38,30,52.524,6294,6294,0,0,7823,16,16,40
8.955,384,80,12995,33486,154,30,55,30,165.505,13558,13558,0,0,9371,128,128,80
9.206,48,40,13911,8659,281,38,38,38,58.113,8635,8635,0,0,11976,16,16,40
8.955,384,160,26983,35476,282,31,87,31,223.339,21836,21836,0,0,20303,128,128,160
9.229,48,40,20088,12230,537,54,38,54,69.342,13385,13385,0,0,17619,16,16,40
8.955,384,320,48501,52459,538,37,151,37,319.158,35838,35838,0,0,38788,128,128,320
9.298,48,40,33392,19010,1049,86,38,86,94.859,24260,24260,0,0,30348,16,16,40
8.813,384,320,77382,51793,1050,30,151,30,353.64,47925,47925,0,0,63473,128,128,320
8.847,32,5,1068,2548,32,25,26,25,16.078,1151,1151,0,0,742,0,32,5
8.528,256,8,1750,11815,33,25,28,25,79.969,5044,5044,0,0,865,0,256,8
8.858,32,5,1189,2569,34,26,26,26,16.727,1173,1173,0,0,825,0,32,5
8.528,256,8,1781,12180,35,26,28,26,79.886,5007,5007,0,0,894,0,256,8
8.578,32,5,1215,2862,38,32,26,32,17.157,1337,1337,0,0,855,0,32,5
8.967,256,8,2069,13328,39,32,28,32,78.415,5046,5046,0,0,984,0,256,8
8.847,32,40,3994,4963,46,25,40,25,39.154,3253,3253,0,0,2542,0,32,40
8.922,256,8,2298,8611,47,25,28,25,79.623,5311,5311,0,0,1136,0,256,8
8.847,32,5,1096,2615,33,25,27,25,16.463,1244,1244,0,0,763,0,32,5
8.528,256,8,1776,11850,34,25,29,25,80.657,5131,5131,0,0,888,0,256,8
8.858,32,5,1184,2660,35,26,27,26,16.748,1373,1373,0,0,854,0,32,5
8.528,256,8,1847,12416,36,26,29,26,81.283,5511,5511,0,0,962,0,256,8
8.578,32,5,1316,2894,39,32,27,32,17.857,1515,1515,0,0,964,0,32,5
8.967,256,8,1997,13583,40,32,29,32,84.518,5502,5502,0,0,1108,0,256,8
8.847,40,40,4632,5310,47,25,41,25,40.235,3153,3144,0,9,2565,8,24,40
8.528,320,40,8861,20334,48,25,42,25,116.533,7070,7061,0,9,2887,64,192,40
8.835,48,40,9709,7053,156,31,38,31,49.762,6119,6119,0,0,7900,16,16,40
8.967,384,80,13090,34095,157,31,55,31,162.37,13560,13560,0,0,10223,128,128,80
9.229,48,40,14089,8741,284,39,38,39,54.879,8640,8640,0,0,12054,16,16,40
8.967,384,160,27078,36084,285,32,87,32,212.269,21478,21478,0,0,20193,128,128,160
9.251,48,40,20266,12313,540,55,38,55,65.536,13740,13740,0,0,17715,16,16,40
8.967,384,320,48555,53032,541,38,151,38,318.104,35768,35768,0,0,38857,124,128,320
9.321,48,40,33570,19093,1052,87,38,87,86.248,23281,23281,0,0,30422,16,16,40
8.922,384,320,77445,52394,1053,31,151,31,344.172,48802,48802,0,0,63683,120,128,320
8.566,32,14,1579,3272,38,31,29,31,25.211,1465,1465,0,0,1144,0,32,14
8.955,256,14,2209,13287,39,27,30,27,77.105,5216,5216,0,0,1195,0,256,14
8.578,32,14,1700,3293,40,32,29,32,25.368,1496,1496,0,0,1231,0,32,14
8.967,256,14,2433,13656,41,28,30,28,78.903,5176,5176,0,0,1224,0,256,14
8.858,32,14,1726,3589,44,38,29,38,25.486,1631,1631,0,0,1260,0,32,14
8.858,256,14,2528,14816,45,34,30,34,77.997,5272,5272,0,0,1310,0,256,14
8.566,32,40,4025,5318,52,31,40,31,43.21,3497,3497,0,0,2754,0,32,40
8.944,256,14,2757,9131,53,27,30,27,78.076,5484,5484,0,0,1467,0,256,14
8.566,32,14,1607,3339,39,31,30,31,25.548,1606,1606,0,0,1170,0,32,14
8.955,256,14,2235,13322,40,27,31,27,78.537,5338,5338,0,0,1220,0,256,14
8.806,32,14,1695,3375,41,32,30,32,25.634,1691,1691,0,0,1261,0,32,14
8.967,256,14,2306,13888,42,28,31,28,78.868,5605,5605,0,0,1290,0,256,14
8.858,32,14,1827,3608,45,38,30,38,26.395,1827,1827,0,0,1374,0,32,14
8.858,256,14,2456,15051,46,34,31,34,80.839,5747,5747,0,0,1431,0,256,14
8.566,40,40,4663,5665,53,31,41,31,43.909,3306,3297,0,9,2780,8,24,40
8.955,320,40,9000,21560,54,27,42,27,109.641,7180,7171,0,9,3087,64,192,40
8.813,48,40,9740,7353,162,37,38,37,54.819,6139,6139,0,0,8118,16,16,40
