prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io2_l1n1p2_l3n1n2_d1d2,8.423,14,10,1312,1872,20,7,16,7,3x32,1x32,21.566,1188,1188,0,0,1036,4,6,10
io2_l1n1p2_l3n1p1,8.423,16,5,924,1525,18,7,14,7,3x32,1x32,18.007,900,900,0,0,736,4,4,5
io2_l1n1p2_l3n1p1_d1d2,8.423,16,5,924,1730,19,12,15,12,3x32,1x32,17.275,942,942,0,0,735,4,4,5
io2_l1n1p2_l3n1p2,8.423,18,10,1507,1897,20,7,16,7,3x32,1x32,23.209,1174,1169,0,5,931,6,0,10
io2_l1n1p2_l3n1p2_d1d2,8.423,18,10,1557,2089,21,7,17,7,3x32,1x32,24.142,1258,1253,0,5,1047,6,0,10
io2_l1n1p2_l3p1n1,9.029,16,18,4600,4098,141,37,16,37,3x32,1x32,43.471,4411,4411,0,0,4131,6,4,18
io2_l1n1p2_l3p1n1_d1d2,9.029,16,18,4662,4627,142,37,17,37,3x32,1x32,42.048,4367,4367,0,0,4198,6,4,18
io2_l1n1p2_l3p2n1,9.634,16,20,5349,4715,269,69,17,69,3x32,1x32,41.406,3706,3706,0,0,4833,6,4,20
io2_l1n1p2_l3p2n1_d1d2,9.672,16,38,7450,6147,270,37,25,37,3x32,1x32,61.129,6468,6468,0,0,6641,6,4,38
io2_l1p1n1_l3n1n1,9.101,16,14,3994,4265,138,37,13,37,3x32,1x32,31.238,2282,2282,0,0,3693,4,4,14
io2_l1p1n1_l3n1n1_d1d2,9.101,16,14,3941,4748,139,42,14,42,3x32,1x32,33.245,2402,2402,0,0,3694,4,4,14
io2_l1p1n1_l3n1n2,9.101,16,16,4188,4417,140,37,14,37,3x32,1x32,35.31,2560,2560,0,0,3859,4,4,16
io2_l1p1n1_l3n1n2_d1d2,9.101,16,16,4198,4902,141,37,15,37,3x32,1x32,34.916,2611,2611,0,0,3857,4,4,16
io2_l1p1n1_l3n1p1,9.101,18,14,4029,4396,139,37,14,37,3x32,1x32,34.928,2486,2486,0,0,3716,8,0,14
io2_l1p1n1_l3n1p1_d1d2,9.101,18,14,3970,4887,140,42,15,42,3x32,1x32,34.691,2469,2469,0,0,3650,8,0,14
io2_l1p1n1_l3n1p2,9.101,20,16,4452,4635,141,37,15,37,3x32,1x32,39.437,2689,2684,0,5,3880,10,0,16
io2_l1p1n1_l3n1p2_d1d2,9.101,20,16,4443,5119,142,37,16,37,3x32,1x32,40.005,2738,2733,0,5,3867,10,0,16
io2_l1p1n1_l3p1n1,9.778,18,18,6809,6480,262,67,13,67,3x32,1x32,49.256,5773,5773,0,0,6674,8,2,18
io2_l1p1n1_l3p1n1_d1d2,9.778,18,18,7068,7269,263,67,14,67,3x32,1x32,48.115,5599,5599,0,0,6721,6,0,18
io2_l1p1n1_l3p2n1,9.132,18,20,7845,7120,390,99,14,99,3x32,1x32,48.451,5298,5298,0,0,7466,8,2,20
io2_l1p1n1_l3p2n1_d1d2,9.741,18,38,9856,8786,391,67,22,67,3x32,1x32,65.523,7677,7677,0,0,9042,2,2,38
io2_l1p2n1_l3n1n1,9.047,16,20,15502,8598,266,69,16,69,3x32,1x32,47.574,6823,5635,0,1188,12465,4,4,20
io2_l1p2n1_l3n1n1_d1d2,9.01,16,40,18514,10768,267,42,25,42,3x32,1x32,67.271,9302,7666,0,1636,14186,6,4,40
io2_l1p2n1_l3n1n2,8.59,16,20,15469,8539,268,69,16,69,3x32,1x32,54.919,6576,5388,0,1188,12459,6,4,20
io2_l1p2n1_l3n1n2_d1d2,8.553,16,40,18544,10711,269,37,25,37,3x32,1x32,76.119,9502,7866,0,1636,14285,4,4,40
io2_l1p2n1_l3n1p1,9.047,18,20,15537,8713,267,69,17,69,3x32,1x32,54.459,6906,5718,0,1188,12488,6,0,20
io2_l1p2n1_l3n1p1_d1d2,9.01,18,40,18543,10907,268,42,26,42,3x32,1x32,74.107,9117,7481,0,1636,14211,6,2,40
io2_l1p2n1_l3n1p2,8.59,20,20,15733,8741,269,69,17,69,3x32,1x32,95.416,7043,5850,0,1193,12641,10,0,20
io2_l1p2n1_l3n1p2_d1d2,8.553,20,40,18789,10928,270,37,26,37,3x32,1x32,112.418,9098,7457,0,1641,14334,8,0,40
io2_l1p2n1_l3p1n1,7.969,18,20,16967,10226,390,99,14,99,3x32,1x32,110.183,9444,8256,0,1188,14344,8,2,20
io2_l1p2n1_l3p1n1_d1d2,7.966,18,40,20259,12755,391,67,23,67,3x32,1x32,116.893,12019,10383,0,1636,16446,4,2,40
io2_l1p2n1_l3p2n1,7.984,18,20,17649,10601,518,131,14,131,3x32,1x32,113.517,8553,7365,0,1188,14631,8,2,20
io2_l1p2n1_l3p2n1_d1d2,7.966,18,40,19611,12711,519,67,23,67,3x32,1x32,132.302,12308,10672,0,1636,15376,8,2,40
io4_l1n1n1_l3n1n1,8.034,8,5,1871,1606,14,7,12,7,5x32,1x32,16.733,1173,789,384,0,1387,4,0,5
io4_l1n1n1_l3n1n1_d1d2,8.034,16,5,1871,1871,15,7,13,7,5x32,1x32,21.269,1438,1054,384,0,1387,0,16,5
io4_l1n1n1_l3n1n2,8.034,8,5,1876,1738,16,10,12,10,5x32,1x32,15.214,1271,887,384,0,1396,4,0,5
io4_l1n1n1_l3n1n2_d1d2,8.034,16,5,1764,2245,17,10,13,10,5x32,1x32,19.459,1522,1138,384,0,1395,0,16,5
io4_l1n1n1_l3n1n4,8.034,8,20,3072,2629,20,7,18,7,5x32,1x32,27.71,2092,1708,384,0,2200,4,0,20
io4_l1n1n1_l3n1n4_d1d2,8.034,16,20,3178,2978,21,7,19,7,5x32,1x32,33.351,2314,1930,384,0,2200,0,16,20
io4_l1n1n1_l3n1p1,8.034,8,5,1770,1678,15,7,13,7,5x32,1x32,17.033,1327,943,384,0,1281,4,0,5
io4_l1n1n1_l3n1p1_d1d2,8.034,16,5,1765,1943,16,7,14,7,5x32,1x32,22.821,1579,1195,384,0,1275,0,16,5
io4_l1n1n1_l3n1p2,8.034,8,5,1773,1796,17,10,13,10,5x32,1x32,17.885,1399,1015,384,0,1312,4,0,5
io4_l1n1n1_l3n1p2_d1d2,8.034,16,5,1829,2039,18,10,14,10,5x32,1x32,22.536,1635,1251,384,0,1303,0,16,5
io4_l1n1n1_l3n1p4,8.034,16,20,3070,2815,21,7,19,7,5x32,1x32,28.256,2021,1760,256,5,1863,8,0,20
io4_l1n1n1_l3n1p4_d1d2,8.034,24,20,3171,3164,22,7,20,7,5x32,1x32,33.785,2270,2009,256,5,1955,4,16,20
io4_l1n1n1_l3p1n1,8.034,16,40,7056,5503,138,21,24,21,5x32,1x32,48.593,4971,4715,256,0,5745,8,0,40
io4_l1n1n1_l3p1n1_d1d2,8.034,40,40,7261,6880,139,21,25,21,5x32,1x32,54.287,5422,5166,256,0,5844,20,0,40
io4_l1n1n1_l3p2n1,8.621,16,40,8863,6387,266,40,24,40,5x32,1x32,52.794,6520,6264,256,0,7582,8,0,40
io4_l1n1n1_l3p2n1_d1d2,8.678,40,80,13221,11173,267,24,41,24,5x32,1x32,87.717,9962,9706,256,0,11093,16,0,80
io4_l1n1n1_l3p4n1,8.659,16,40,8952,7289,522,69,24,69,5x32,1x32,52.891,6291,6035,256,0,7657,8,0,40
io4_l1n1n1_l3p4n1_d1d2,9.227,40,114,22677,15073,523,21,55,21,5x32,1x32,141.869,17865,17609,256,0,20449,20,0,114
io4_l1n1n2_l3n1n1,8.034,8,8,2070,1884,16,10,13,10,5x32,1x32,19.853,1304,920,384,0,1540,4,0,8
io4_l1n1n2_l3n1n1_d1d2,8.034,16,8,2122,2127,17,10,14,10,5x32,1x32,24.547,1560,1176,384,0,1541,0,16,8
io4_l1n1n2_l3n1n2,8.034,8,8,2075,2016,18,13,13,13,5x32,1x32,20.186,1401,1017,384,0,1549,4,0,8
io4_l1n1n2_l3n1n2_d1d2,8.034,16,8,2015,2501,19,13,14,13,5x32,1x32,22.831,1646,1262,384,0,1549,0,16,8
io4_l1n1n2_l3n1n4,8.034,8,20,3111,2800,22,10,18,10,5x32,1x32,31.554,2139,1755,384,0,2289,4,0,20
io4_l1n1n2_l3n1n4_d1d2,8.034,16,20,3269,3127,23,10,19,10,5x32,1x32,34.695,2386,2002,384,0,2290,0,16,20
io4_l1n1n2_l3n1p1,8.034,8,8,1969,1956,17,10,14,10,5x32,1x32,22.057,1416,1032,384,0,1434,4,0,8
io4_l1n1n2_l3n1p1_d1d2,8.034,16,8,1860,2463,18,10,15,10,5x32,1x32,26.077,1665,1281,384,0,1428,0,16,8
io4_l1n1n2_l3n1p2,8.034,8,8,1972,2065,19,13,14,13,5x32,1x32,22.314,1508,1124,384,0,1465,4,0,8
io4_l1n1n2_l3n1p2_d1d2,8.034,16,8,1924,2550,20,13,15,13,5x32,1x32,27.915,2111,1727,384,0,1725,0,16,8
io4_l1n1n2_l3n1p4,8.034,16,20,3109,2986,23,10,19,10,5x32,1x32,31.034,2076,1815,256,5,1985,8,0,20
io4_l1n1n2_l3n1p4_d1d2,8.034,24,20,3054,3665,24,10,20,10,5x32,1x32,37.493,2337,2076,256,5,2045,4,16,20
io4_l1n1n2_l3p1n1,8.621,16,40,7063,5653,140,24,24,24,5x32,1x32,53.697,5076,4820,256,0,5838,8,0,40
io4_l1n1n2_l3p1n1_d1d2,8.621,40,40,7008,7536,141,24,25,24,5x32,1x32,60.185,5411,5155,256,0,5894,20,0,40
io4_l1n1n2_l3p2n1,9.208,16,40,8870,6525,268,43,24,43,5x32,1x32,57.469,6295,6039,256,0,7672,8,0,40
io4_l1n1n2_l3p2n1_d1d2,8.696,40,80,13202,11427,269,27,41,27,5x32,1x32,101.636,10036,9780,256,0,11145,20,0,80
io4_l1n1n2_l3p4n1,9.246,16,40,8959,7427,524,72,24,72,5x32,1x32,57.739,6344,6088,256,0,7743,8,0,40
io4_l1n1n2_l3p4n1_d1d2,9.246,40,114,22658,15332,525,24,55,24,5x32,1x32,140.954,17832,17576,256,0,20522,20,0,114
io4_l1n1n4_l3n1n1,8.678,8,14,2403,2056,20,7,15,7,5x32,1x32,27.92,1468,1084,384,0,1678,4,0,14
io4_l1n1n4_l3n1n1_d1d2,8.678,16,14,2507,2405,21,7,16,7,5x32,1x32,30.579,1704,1320,384,0,1678,0,16,14
io4_l1n1n4_l3n1n2,8.696,8,14,2408,2188,22,10,15,10,5x32,1x32,28.067,1561,1177,384,0,1687,4,0,14
io4_l1n1n4_l3n1n2_d1d2,8.696,16,14,2348,2867,23,10,16,10,5x32,1x32,29.579,1805,1421,384,0,1686,0,16,14
io4_l1n1n4_l3n1n4,8.678,8,20,2996,2698,26,7,18,7,5x32,1x32,31.737,2128,1744,384,0,2011,4,0,20
io4_l1n1n4_l3n1n4_d1d2,8.678,16,20,3334,3191,27,7,19,7,5x32,1x32,36.633,2462,2078,384,0,3042,0,16,20
io4_l1n1n4_l3n1p1,8.678,8,14,2302,2128,21,7,16,7,5x32,1x32,30.198,1568,1184,384,0,1572,4,0,14
io4_l1n1n4_l3n1p1_d1d2,8.678,16,14,2401,2477,22,7,17,7,5x32,1x32,33.953,1829,1445,384,0,1566,0,16,14
io4_l1n1n4_l3n1p2,8.696,8,14,2305,2237,23,10,16,10,5x32,1x32,30.327,1662,1278,384,0,1603,4,0,14
io4_l1n1n4_l3n1p2_d1d2,8.696,16,14,2465,2564,24,10,17,10,5x32,1x32,35.439,1992,1608,384,0,1663,0,16,14
io4_l1n1n4_l3n1p4,8.678,16,20,2994,2884,27,7,19,7,5x32,1x32,35.228,2171,1910,256,5,1772,8,0,20
io4_l1n1n4_l3n1p4_d1d2,8.678,24,20,3327,3377,28,7,20,7,5x32,1x32,38.095,2396,2135,256,5,2025,4,16,20
io4_l1n1n4_l3p1n1,8.659,16,40,6948,5565,144,21,24,21,5x32,1x32,58.088,5225,4969,256,0,5787,8,0,40
io4_l1n1n4_l3p1n1_d1d2,8.659,40,40,7385,7050,145,21,25,21,5x32,1x32,62.904,5483,5227,256,0,5905,20,0,40
io4_l1n1n4_l3p2n1,9.246,16,40,8755,6419,272,40,24,40,5x32,1x32,60.675,5991,5735,256,0,7622,8,0,40
io4_l1n1n4_l3p2n1_d1d2,8.621,40,80,13345,11335,273,24,41,24,5x32,1x32,101.222,9849,9593,256,0,11731,20,0,80
io4_l1n1n4_l3p4n1,9.283,16,40,8844,7337,528,69,24,69,5x32,1x32,61.438,6205,5949,256,0,8142,8,0,40
io4_l1n1n4_l3p4n1_d1d2,9.283,40,114,22801,15218,529,21,55,21,5x32,1x32,147.71,17840,17584,256,0,20520,20,0,114
io4_l1n1p1_l3n1n1,8.034,8,5,1902,1701,15,7,13,7,5x32,1x32,16.915,1250,866,384,0,1422,4,0,5
io4_l1n1p1_l3n1n1_d1d2,8.034,16,5,1897,1966,16,7,14,7,5x32,1x32,22.15,1515,1131,384,0,1417,0,16,5
io4_l1n1p1_l3n1n2,8.034,8,5,1907,1833,17,10,13,10,5x32,1x32,16.937,1344,960,384,0,1431,4,0,5
io4_l1n1p1_l3n1n2_d1d2,8.034,16,5,1790,2340,18,10,14,10,5x32,1x32,22.774,1604,1220,384,0,1425,0,16,5
io4_l1n1p1_l3n1n4,8.034,8,20,3103,2724,21,7,19,7,5x32,1x32,31.862,2140,1756,384,0,2235,4,0,20
io4_l1n1p1_l3n1n4_d1d2,8.034,16,20,3204,3073,22,7,20,7,5x32,1x32,39.584,2410,2026,384,0,2230,0,16,20
io4_l1n1p1_l3n1p1,8.034,8,5,1801,1773,16,7,14,7,5x32,1x32,19.352,1371,987,384,0,1316,4,0,5
io4_l1n1p1_l3n1p1_d1d2,8.034,16,5,1791,2038,17,7,15,7,5x32,1x32,26.283,1633,1249,384,0,1305,0,16,5
io4_l1n1p1_l3n1p2,8.034,8,5,1804,1891,18,10,14,10,5x32,1x32,21.313,1465,1081,384,0,1347,4,0,5
io4_l1n1p1_l3n1p2_d1d2,8.034,16,5,1699,2398,19,10,15,10,5x32,1x32,29.066,1939,1555,384,0,1763,0,16,5
io4_l1n1p1_l3n1p4,8.034,16,20,3101,2910,22,7,20,7,5x32,1x32,34.7,2132,1871,256,5,1898,8,0,20
io4_l1n1p1_l3n1p4_d1d2,8.034,24,20,3197,3259,23,7,21,7,5x32,1x32,42.292,2351,2090,256,5,1985,4,16,20
io4_l1n1p1_l3p1n1,8.034,16,40,7087,5598,139,21,25,21,5x32,1x32,58.263,5280,5024,256,0,5784,8,0,40
io4_l1n1p1_l3p1n1_d1d2,8.034,40,40,7287,6975,140,21,26,21,5x32,1x32,66.178,5529,5273,256,0,5875,20,0,40
io4_l1n1p1_l3p2n1,8.621,16,40,8894,6482,267,40,25,40,5x32,1x32,59.322,6501,6245,256,0,7617,8,0,40
io4_l1n1p1_l3p2n1_d1d2,8.678,40,80,13247,11268,268,24,42,24,5x32,1x32,105.218,10092,9836,256,0,11041,20,0,80
io4_l1n1p1_l3p4n1,8.659,16,40,8983,7384,523,69,25,69,5x32,1x32,60.366,6337,6081,256,0,7713,8,0,40
io4_l1n1p1_l3p4n1_d1d2,9.227,40,114,22703,15168,524,21,56,21,5x32,1x32,156.592,18044,17788,256,0,20509,20,0,114
io4_l1n1p2_l3n1n1,8.034,8,5,1980,1853,17,10,13,10,5x32,1x32,17.094,1365,981,384,0,1520,4,0,5
io4_l1n1p2_l3n1n1_d1d2,8.034,16,5,2027,2096,18,10,14,10,5x32,1x32,21.838,1625,1241,384,0,1516,0,16,5
io4_l1n1p2_l3n1n2,8.034,8,5,1985,1985,19,13,13,13,5x32,1x32,17.006,1467,1083,384,0,1529,4,0,5
io4_l1n1p2_l3n1n2_d1d2,8.034,16,5,1920,2470,20,13,14,13,5x32,1x32,20.661,1713,1329,384,0,1524,0,16,5
io4_l1n1p2_l3n1n4,8.034,8,20,3181,2876,23,10,19,10,5x32,1x32,33.123,2292,1908,384,0,2333,4,0,20
io4_l1n1p2_l3n1n4_d1d2,8.034,16,20,3334,3203,24,10,20,10,5x32,1x32,37.523,2512,2128,384,0,2329,0,16,20
io4_l1n1p2_l3n1p1,8.034,8,5,1879,1925,18,10,14,10,5x32,1x32,19.743,1436,1052,384,0,1414,4,0,5
io4_l1n1p2_l3n1p1_d1d2,8.034,16,5,1921,2168,19,10,15,10,5x32,1x32,24.683,1703,1319,384,0,1404,0,16,5
io4_l1n1p2_l3n1p2,8.034,8,5,1850,2028,20,13,14,13,5x32,1x32,21.176,1548,1164,384,0,1413,4,0,5
io4_l1n1p2_l3n1p2_d1d2,8.034,16,5,1797,2513,21,13,15,13,5x32,1x32,26.73,1967,1583,384,0,1534,0,16,5
io4_l1n1p2_l3n1p4,8.034,16,20,3179,3062,24,10,20,10,5x32,1x32,34.463,2277,2016,256,5,2028,8,0,20
io4_l1n1p2_l3n1p4_d1d2,8.034,24,20,3327,3389,25,10,21,10,5x32,1x32,40.121,2463,2202,256,5,2084,4,16,20
io4_l1n1p2_l3p1n1,8.621,16,40,7101,5732,141,24,25,24,5x32,1x32,56.637,5274,5018,256,0,5851,8,0,40
io4_l1n1p2_l3p1n1_d1d2,8.621,40,40,7353,7087,142,24,26,24,5x32,1x32,66.107,5556,5300,256,0,5967,20,0,40
io4_l1n1p2_l3p2n1,9.208,16,40,8908,6613,269,43,25,43,5x32,1x32,59.862,6240,5984,256,0,7702,8,0,40
io4_l1n1p2_l3p2n1_d1d2,8.696,40,80,13235,11509,270,27,42,27,5x32,1x32,105.636,10233,9977,256,0,11258,20,0,80
io4_l1n1p2_l3p4n1,9.246,16,40,8997,7514,525,72,25,72,5x32,1x32,60.148,6507,6251,256,0,7782,8,0,40
io4_l1n1p2_l3p4n1_d1d2,9.246,40,114,22691,15406,526,24,56,24,5x32,1x32,150.101,18384,18128,256,0,19887,20,0,114
io4_l1n1p4_l3n1n1,8.678,8,5,2169,1774,21,7,13,7,5x32,1x32,18.425,1428,1044,384,0,1645,4,0,5
io4_l1n1p4_l3n1n1_d1d2,8.678,16,5,2277,2123,22,7,14,7,5x32,1x32,21.851,1623,1239,384,0,1648,0,16,5
io4_l1n1p4_l3n1n2,8.696,8,5,2174,1905,23,10,13,10,5x32,1x32,17.527,1499,1115,384,0,1654,4,0,5
io4_l1n1p4_l3n1n2_d1d2,8.696,16,5,2118,2584,24,10,14,10,5x32,1x32,20.627,1717,1333,384,0,1656,0,16,5
io4_l1n1p4_l3n1n4,8.678,8,20,3242,2791,27,7,19,7,5x32,1x32,33.65,2339,1955,384,0,2202,4,0,20
io4_l1n1p4_l3n1n4_d1d2,8.678,16,20,3584,3230,28,7,20,7,5x32,1x32,36.957,2505,2121,384,0,3231,0,16,20
io4_l1n1p4_l3n1p1,8.678,8,5,2068,1846,22,7,14,7,5x32,1x32,20.028,1438,1054,384,0,1539,4,0,5
io4_l1n1p4_l3n1p1_d1d2,8.678,16,5,2171,2195,23,7,15,7,5x32,1x32,24.763,1701,1317,384,0,1536,0,16,5
io4_l1n1p4_l3n1p2,8.696,8,5,2039,1948,24,10,14,10,5x32,1x32,20.44,1564,1180,384,0,1540,4,0,5
io4_l1n1p4_l3n1p2_d1d2,8.696,16,5,1995,2627,25,10,15,10,5x32,1x32,26.157,2014,1630,384,0,1858,0,16,5
io4_l1n1p4_l3n1p4,8.678,16,20,3240,2977,28,7,20,7,5x32,1x32,34.339,2207,1946,256,5,1963,8,0,20
io4_l1n1p4_l3n1p4_d1d2,8.678,24,20,3577,3416,29,7,21,7,5x32,1x32,40.845,2462,2201,256,5,2216,4,16,20
io4_l1n1p4_l3p1n1,8.659,16,40,7098,5635,145,21,25,21,5x32,1x32,58.885,5059,4803,256,0,5845,8,0,40
io4_l1n1p4_l3p1n1_d1d2,8.659,40,40,7539,7098,146,21,26,21,5x32,1x32,65.672,5570,5314,256,0,5972,20,0,40
io4_l1n1p4_l3p2n1,9.246,16,40,8905,6515,273,40,25,40,5x32,1x32,60.134,6287,6031,256,0,7694,8,0,40
io4_l1n1p4_l3p2n1_d1d2,8.621,40,80,13499,11388,274,24,42,24,5x32,1x32,104.396,9983,9727,256,0,11799,20,0,80
io4_l1n1p4_l3p4n1,9.283,16,40,8994,7427,529,69,25,69,5x32,1x32,61.65,6309,6053,256,0,7761,8,0,40
io4_l1n1p4_l3p4n1_d1d2,9.283,40,114,22955,15279,530,21,56,21,5x32,1x32,147.988,17790,17534,256,0,20598,20,0,114
io4_l1p1n1_l3n1n1,8.712,8,26,5964,4884,138,21,17,21,5x32,1x32,49.067,3191,2807,384,0,5128,4,0,26
